n,window,detrend,estimator,predicted,n_rep,median,mean,q025,q975,frac_correct_sign
1500,20,False,theory,0.5,2,0.5622287655505234,0.5622287655505234,0.5604740024297745,0.5639835286712723,1.0
1500,20,False,ac1,0.5,2,-0.1438815495038844,-0.1438815495038844,-0.236985257589308,-0.05077784141846082,0.0
1500,20,False,variance,-0.5,2,0.3613453502647108,0.3613453502647108,0.31814129810030267,0.40454940242911896,0.0
1500,20,True,theory,0.5,2,0.5668815636186265,0.5668815636186265,0.5646971424132813,0.5690659848239717,1.0
1500,20,True,ac1,0.5,2,0.013071174760348504,0.013071174760348504,-0.08987947216267855,0.11602182168337555,0.5
1500,20,True,variance,-0.5,2,0.10903206313928354,0.10903206313928354,0.09179339332832746,0.12627073295023963,0.0
1500,30,False,theory,0.5,2,0.5644902082023739,0.5644902082023739,0.5635620755173913,0.5654183408873565,1.0
1500,30,False,ac1,0.5,2,-0.1473137575246673,-0.1473137575246673,-0.2681669742470929,-0.026460540802241674,0.0
1500,30,False,variance,-0.5,2,0.256067009975741,0.256067009975741,0.2187061936258331,0.2934278263256489,0.0
1500,30,True,theory,0.5,2,0.5635262276122277,0.5635262276122277,0.5629217547729607,0.5641307004514947,1.0
1500,30,True,ac1,0.5,2,-0.29573028366453946,-0.29573028366453946,-0.5103212845063645,-0.08113928282271442,0.0
1500,30,True,variance,-0.5,2,0.25404901728102514,0.25404901728102514,0.1384387732314468,0.36965926133060345,0.0
1500,60,False,theory,0.5,2,0.5692186170065097,0.5692186170065097,0.567284068806282,0.5711531652067372,1.0
1500,60,False,ac1,0.5,2,-0.15222537001174258,-0.15222537001174258,-0.5091710095917343,0.20472026956824915,0.5
1500,60,False,variance,-0.5,2,0.2137181296079315,0.2137181296079315,-0.04072272725671556,0.46815898647257853,0.5
1500,60,True,theory,0.5,2,0.5614325082594732,0.5614325082594732,0.5561306818524087,0.5667343346665378,1.0
1500,60,True,ac1,0.5,2,-0.08716389140427425,-0.08716389140427425,-0.2310711239138589,0.05674334110531038,0.5
1500,60,True,variance,-0.5,2,0.04405013953825575,0.04405013953825575,-0.017619088659831684,0.10571936773634319,0.5
1500,120,False,theory,0.5,2,0.5641395621531716,0.5641395621531716,0.5615368055461579,0.5667423187601853,1.0
1500,120,False,ac1,0.5,2,-0.2805163502310716,-0.2805163502310716,-0.47256344368944436,-0.0884692567726988,0.0
1500,120,False,variance,-0.5,2,0.26320242583265996,0.26320242583265996,0.1713055151716803,0.3550993364936396,0.0
1500,120,True,theory,0.5,2,0.5655851270650047,0.5655851270650047,0.565321841404018,0.5658484127259914,1.0
1500,120,True,ac1,0.5,2,-0.0003551102871942463,-0.0003551102871942463,-0.067816389345717,0.06710616877132851,0.5
1500,120,True,variance,-0.5,2,0.025759220828904604,0.025759220828904604,-0.05279138200023515,0.10430982365804435,0.5
1500,240,False,theory,0.5,2,0.5662984762412033,0.5662984762412033,0.5643707522767615,0.5682262002056452,1.0
1500,240,False,ac1,0.5,2,0.006226451288227751,0.006226451288227751,-0.011213435814837528,0.023666338391293028,0.5
1500,240,False,variance,-0.5,2,0.0154723840466572,0.0154723840466572,0.00709221725906146,0.023852550834252938,0.0
1500,240,True,theory,0.5,2,0.5638022324958284,0.5638022324958284,0.5633198828711738,0.5642845821204829,1.0
1500,240,True,ac1,0.5,2,0.01822471931813515,0.01822471931813515,-0.012445559185156716,0.04889499782142702,0.5
1500,240,True,variance,-0.5,2,-0.023342801440163104,-0.023342801440163104,-0.07433748198094957,0.02765187910062336,0.5
6000,20,False,theory,0.5,2,0.5636633091381487,0.5636633091381487,0.5624854983581592,0.5648411199181382,1.0
6000,20,False,ac1,0.5,2,-0.0360787955966581,-0.0360787955966581,-0.11638572424486854,0.04422813305155233,0.5
6000,20,False,variance,-0.5,2,0.2323842896153896,0.2323842896153896,0.20943558503512855,0.25533299419565064,0.0
6000,20,True,theory,0.5,2,0.5647825475268533,0.5647825475268533,0.5637564556910006,0.5658086393627061,1.0
6000,20,True,ac1,0.5,2,-0.08013361536428736,-0.08013361536428736,-0.16864205991671996,0.008374829188145258,0.5
6000,20,True,variance,-0.5,2,0.09938520863382294,0.09938520863382294,0.08518385811091442,0.11358655915673148,0.0
6000,30,False,theory,0.5,2,0.5673254216020509,0.5673254216020509,0.5670322153527046,0.5676186278513972,1.0
6000,30,False,ac1,0.5,2,-0.2017756143507953,-0.2017756143507953,-0.2160943009986975,-0.1874569277028931,0.0
6000,30,False,variance,-0.5,2,0.2891665225882776,0.2891665225882776,0.28611562362854,0.2922174215480152,0.0
6000,30,True,theory,0.5,2,0.5632289029497648,0.5632289029497648,0.5628402277776595,0.56361757812187,1.0
6000,30,True,ac1,0.5,2,-0.036745264573859196,-0.036745264573859196,-0.10905273047384818,0.03556220132612978,0.5
6000,30,True,variance,-0.5,2,0.10775475289059185,0.10775475289059185,0.06198710838876499,0.15352239739241869,0.0
6000,60,False,theory,0.5,2,0.5661282771101928,0.5661282771101928,0.5659193096785793,0.5663372445418063,1.0
6000,60,False,ac1,0.5,2,-0.09614242158713954,-0.09614242158713954,-0.1314118193839499,-0.06087302379032917,0.0
6000,60,False,variance,-0.5,2,0.16362104414522954,0.16362104414522954,0.11112995464842819,0.2161121336420309,0.0
6000,60,True,theory,0.5,2,0.5645598467820558,0.5645598467820558,0.5641189686872969,0.5650007248768146,1.0
6000,60,True,ac1,0.5,2,0.000417688499006752,0.000417688499006752,-0.10679192357548162,0.10762730057349512,0.5
6000,60,True,variance,-0.5,2,0.0013118768679367537,0.0013118768679367537,-0.07133422630122119,0.0739579800370947,0.5
6000,120,False,theory,0.5,2,0.5657117063294205,0.5657117063294205,0.5654421588326293,0.5659812538262117,1.0
6000,120,False,ac1,0.5,2,0.046123823493588706,0.046123823493588706,-0.029973174169343288,0.12222082115652069,0.5
6000,120,False,variance,-0.5,2,-0.01110074270134695,-0.01110074270134695,-0.09132542750020609,0.06912394209751219,0.5
6000,120,True,theory,0.5,2,0.5647826846590921,0.5647826846590921,0.5645691702332338,0.5649961990849504,1.0
6000,120,True,ac1,0.5,2,-0.01878599626051735,-0.01878599626051735,-0.04835016094310765,0.010778168422072945,0.5
6000,120,True,variance,-0.5,2,0.0345282545824521,0.0345282545824521,0.00802950964879752,0.06102699951610668,0.0
6000,240,False,theory,0.5,2,0.563676911991537,0.563676911991537,0.5632461995402095,0.5641076244428647,1.0
6000,240,False,ac1,0.5,2,0.0691342252408586,0.0691342252408586,0.05789258423964913,0.08037586624206808,1.0
6000,240,False,variance,-0.5,2,-0.0622862475052277,-0.0622862475052277,-0.07022536697233202,-0.05434712803812339,1.0
6000,240,True,theory,0.5,2,0.5646001008676413,0.5646001008676413,0.5639315776690237,0.565268624066259,1.0
6000,240,True,ac1,0.5,2,-0.052280511221899646,-0.052280511221899646,-0.08081101968603689,-0.023750002757762404,0.0
6000,240,True,variance,-0.5,2,0.05478650425243635,0.05478650425243635,0.026967554253976345,0.08260545425089635,0.0
20000,20,False,theory,0.5,2,0.5644439947592406,0.5644439947592406,0.5631377471325323,0.565750242385949,1.0
