n,window,detrend,theory,ac1,variance
1500,20,False,0.5603816464760509,-0.2418854527516987,0.4068232999114562
1500,20,False,0.5640758846249959,-0.0458776462560701,0.3158674006179654
1500,20,True,0.5645821728761579,-0.0952979272638905,0.0908860949172245
1500,20,True,0.5691809543610952,0.1214402767845875,0.1271780313613426
1500,30,False,0.563513226428708,-0.0200998451852719,0.2167398348705748
1500,30,False,0.5654671899760398,-0.2745276698640627,0.2953941850809072
1500,30,True,0.5628899404129992,-0.5216155477085658,0.3757440110174234
1500,30,True,0.5641625148114562,-0.0698450196205131,0.1323540235446269
1500,60,False,0.5671822504799543,-0.5279576222012076,0.4815506105180863
1500,60,False,0.5712549835330649,0.2235068821777224,-0.0541143513022233
1500,60,True,0.5670133781616464,-0.2386451887827844,0.1089651165888741
1500,60,True,0.5558516383573,0.0643174059742359,-0.0208648375123626
1500,120,False,0.5668793059500281,-0.0783615150117318,0.1664688356632077
1500,120,False,0.5613998183563151,-0.4826711854504113,0.3599360160021122
1500,120,True,0.5658622698660434,-0.0713669829803761,0.1084440659122096
1500,120,True,0.565307984263966,0.0706567624059876,-0.0569256242544004
1500,240,False,0.5683276593616684,-0.0121313246097357,0.0242936122441264
1500,240,False,0.5642692931207383,0.0245842271861912,0.006651155849188
1500,240,True,0.5643099689428331,0.0505092230058108,-0.0770214125357278
1500,240,True,0.5632944960488236,-0.0140597843695405,0.0303358096554016
6000,20,False,0.5649031099591904,0.0484548135067213,0.2082277584782727
6000,20,False,0.5624235083171071,-0.1206124047000375,0.2565408207525065
6000,20,True,0.565862644196172,0.0130331683751154,0.0844364186097087
6000,20,True,0.5637024508575347,-0.1733003991036901,0.1143339986579372
6000,30,False,0.5670167834448443,-0.1867033126161614,0.2859550499990801
6000,30,False,0.5676340597592575,-0.2168479160854292,0.2923779951774751
6000,30,True,0.562819771189654,0.0393678574261292,0.059578284993932
6000,30,True,0.5636380347098755,-0.1128583865738476,0.1559312207872517
6000,60,False,0.5659083113927049,-0.0590167396957602,0.1083672657275439
6000,60,False,0.5663482428276807,-0.1332681034785189,0.2188748225629152
6000,60,True,0.5650239289870651,0.1132699117353103,-0.0751577054153874
6000,60,True,0.5640957645770465,-0.1124345347372968,0.0777814591512609
6000,120,False,0.5659954405365691,0.126225926296675,-0.095547779331725
6000,120,False,0.5654279721222718,-0.0339782793094976,0.0733462939290311
6000,120,True,0.5645579326318728,0.0123341770895777,0.0066348388628157
6000,120,True,0.5650074366863114,-0.0499061696106124,0.0624216703020885
6000,240,False,0.5641302935192504,0.057300918923796,-0.0539292796451179
6000,240,False,0.5632235304638238,0.0809675315579212,-0.0706432153653375
6000,240,True,0.5653038094977652,-0.0222483970491236,0.0255033989908995
6000,240,True,0.5638963922375175,-0.0823126253946757,0.0840696095139732
20000,20,False,0.5630689972574424,-0.0714207878635234,0.2527909206856361
20000,20,False,0.5658189922610388,0.0456873163333245,0.1996665703632482
20000,20,True,0.5650933001525263,0.0373503133287137,0.0492092192065759
20000,20,True,0.5659892404190764,-0.0003276485938672,0.0941525613905521
20000,30,False,0.5647470818319189,-0.2589859847374877,0.3105653713072326
20000,30,False,0.5645141223270642,-0.2626681750799841,0.311580427586947
20000,30,True,0.5641604218344815,0.033250691676171,0.1028431343896565
20000,30,True,0.5648093332426288,-0.1134883670254005,0.1379158040739378
20000,60,False,0.5653376686998527,-0.1935541424407242,0.2554839094199588
20000,60,False,0.5659447590894447,-0.3134231699602085,0.3221849343967398
20000,60,True,0.5627074106644382,0.0182502327749075,0.0601738269595789
20000,60,True,0.5651063237948442,-0.0870930724933722,0.102161563213045
20000,120,False,0.5640527906158805,0.0118725674150738,0.0018577989362817
20000,120,False,0.5641214410571037,-0.1405655721087258,0.1520986860960446
20000,120,True,0.5644831020137204,-0.0054610595083084,0.0316727733183452
20000,120,True,0.5627311658632287,0.0118959010675046,0.0215484858016231
20000,240,False,0.5647784263621124,-0.0596150078549354,0.0717093392137238
20000,240,False,0.5641552102837858,0.0922531138225982,-0.0723844251566767
20000,240,True,0.5660683029053835,0.0169534743992065,-0.0136174678353755
20000,240,True,0.5646267299783773,0.0055815671445471,0.0054380276810426
