dataset,subject,state,n_episodes,mean_dwell,cv_observed,cv_geometric,overdispersion,ks_stat,ks_p
WESAD,S6,overloaded,8,15.25,1.6214598218197904,0.9666572451020045,0.654802576717786,0.5594262295081968,0.006909942760780276
WESAD,S7,overloaded,11,9.090909090909092,1.8349386910739005,0.9433981132056604,0.8915405778682401,0.5193727272727273,0.002762743677820277
WESAD,S7,stuck,10,6.9,1.628678603303501,0.9247012835332911,0.7039773197702099,0.3345787407231824,0.168545750828059
WESAD,S13,overloaded,10,5.7,1.2530050060118665,0.9080536347093006,0.3449513713025659,0.18116675188218423,0.8419292783472025
WESAD,S13,stuck,9,9.777777777777779,1.2616195481592383,0.9474847084398105,0.3141348397194278,0.27904676282452623,0.40993343400674975
WESAD,S17,overloaded,9,9.444444444444445,1.383341323749522,0.9455779434075351,0.4377633803419869,0.23461624525201674,0.6245739049599719
EXAM,S1,overloaded,56,9.589285714285714,3.5202166026421424,0.9464232383010656,2.5737933643410766,0.37373741877346633,1.5670224828932588e-07
EXAM,S1,stuck,10,3.8,1.7801615289776593,0.8583950752789522,0.9217664536987071,0.34293628808864285,0.14902347962063367
EXAM,S10,overloaded,10,33.8,1.8710205135121112,0.9850960365281305,0.8859244769839807,0.61040106677523,0.00041602545744236967
EXAM,S10,stuck,8,7.25,1.6931701651297817,0.9284766908852593,0.7646934742445224,0.3681629013079666,0.17652892873826143
EXAM,S2,overloaded,34,8.764705882352942,2.7793420316206032,0.9412258178930583,1.8381162137275449,0.40247657100766543,1.739863986832499e-05
EXAM,S2,stuck,16,5.25,1.0722219284950192,0.8997354108424374,0.17248651765258183,0.21967120181405897,0.3682935345470886
EXAM,S2,overloaded,10,22.2,1.3241711010214865,0.977217966962824,0.34695313405866246,0.21193896599302003,0.6859467694378688
EXAM,S3,overloaded,64,3.328125,1.5126917931355477,0.8363794093782587,0.676312383757289,0.3004694835680751,1.2748932361145516e-05
EXAM,S4,stuck,15,14.266666666666667,2.698427190443065,0.9643166191952075,1.7341105712478575,0.4810846944509187,0.0010243520401687078
EXAM,S5,overloaded,60,2.1166666666666667,0.7671004998605813,0.7263326063988248,0.040767893461756466,0.4724409448818898,8.189984772378455e-13
EXAM,S5,stuck,53,4.490566037735849,3.4176275328851085,0.8816523829547266,2.535975149930382,0.4155330278615331,8.42459658806207e-09
EXAM,S5,overloaded,37,1.4594594594594594,0.5424377228102523,0.5610836076867821,-0.01864588487652985,0.6851851851851852,8.49342936679355e-18
EXAM,S5,stuck,35,3.257142857142857,1.5046864310450223,0.8324556781837402,0.6722307528612821,0.3070175438596492,0.0019961343426477818
EXAM,S7,overloaded,34,4.0,1.7192679700794686,0.8660254037844386,0.85324256629503,0.25,0.02331762962225936
EXAM,S7,stuck,39,3.3846153846153846,1.1677484162422844,0.8393720596645177,0.32837635657776676,0.2954545454545454,0.001636198215747009
EXAM,S7,overloaded,19,9.368421052631579,1.7205325611281772,0.9451234982616251,0.7754090628665521,0.3208718795897344,0.030648538661495306
EXAM,S7,stuck,14,5.571428571428571,1.1386463236499753,0.9058216273156766,0.2328246963342987,0.24908424908424903,0.2979600301563696
EXAM,S8,overloaded,43,2.2093023255813953,0.8485281374238569,0.7398435111918138,0.10868462623204311,0.4526315789473685,1.4509284318030563e-08
EXAM,S8,stuck,47,5.659574468085107,2.3846146481521986,0.9073633619871875,1.4772512861650111,0.3161343809050703,0.00011259541751946077
EXAM,S8,overloaded,25,2.04,0.9246922449060075,0.7140055472954167,0.2106866976105909,0.4901960784313726,4.6021691385308654e-06
EXAM,S8,stuck,24,5.0,1.1761519176251567,0.8944271909999159,0.28172472662524084,0.2233333333333335,0.15624602637993668
EXAM,S9,overloaded,22,2.4545454545454546,2.5404815762433364,0.769800358919501,1.7706812173238353,0.4562289562289562,0.00010496232922572793
EXAM,S9,stuck,44,4.159090909090909,1.2987888201302362,0.8715290250646014,0.42725979506563483,0.2404371584699454,0.010073686696427386
EXAM,S9,stuck,29,4.379310344827586,1.4644822598504152,0.878438127193422,0.5860441326569933,0.28889492261743144,0.012282592537769643
NURSE,15_1594140175,overloaded,8,16.25,2.1627836544820367,0.9687422456265332,1.1940414088555036,0.525650208326039,0.013841356191879185
NURSE,15_1594213322,overloaded,12,7.083333333333333,1.4956916211590998,0.9267273220380225,0.5689642991210773,0.21678254969808008,0.5540944261930234
NURSE,15_1594213322,stuck,17,2.588235294117647,1.2988392783845044,0.7833494518006403,0.5154898265838641,0.38636363636363635,0.008554743252175645
