n,n_rep_nominal,size_nominal,ci_lo_nominal,ci_hi_nominal,n_rep_calibrated,size_calibrated,ci_lo_calibrated,ci_hi_calibrated
100,20,0.2,0.08065635327119998,0.4160217220257599,5,0.0,-3.139202815737979e-17,0.43449149475208104
150,20,0.6,0.38657794231520604,0.7811960325858073,5,0.0,-3.139202815737979e-17,0.43449149475208104
200,20,0.6,0.38657794231520604,0.7811960325858073,5,0.2,0.036223160969787456,0.6244717358814612
300,20,0.45,0.25819502085709295,0.6579179916924003,5,0.0,-3.139202815737979e-17,0.43449149475208104
500,20,0.45,0.25819502085709295,0.6579179916924003,5,0.0,-3.139202815737979e-17,0.43449149475208104
1000,20,0.4,0.21880396741419272,0.613422057684794,5,0.0,-3.139202815737979e-17,0.43449149475208104
