dataset,subject,lrt_stat,p_nested,alpha0_full,n_boot,lam_t_obs,lam_t_null_p95,p_rw_lam_t,lr_obs,lr_null_p95,p_rw_lr,bimodality_obs,bimodality_null_p95,p_rw_bimodality,alpha0_obs,alpha0_null_p95,p_rw_alpha0
WESAD,S2,8.376902777080545,0.9603960396039604,,100,0.0,3.06488991254382,1.0,8.376902777080545,9.911798874855515,0.09900990099009901,58.991820265820195,107.99466945541576,0.22772277227722773,,4.669884149324902,
WESAD,S3,33.13012783115323,0.009900990099009901,3.507895828650407,100,2.4182868178636943,3.1144519415126437,0.15841584158415842,33.13012783115323,11.220749343847901,0.009900990099009901,76.85547337192759,114.07470715470484,0.13861386138613863,3.507895828650407,5.926891515361397,0.1875
WESAD,S4,9.62947633979934,0.594059405940594,5.579401601989582,100,2.021049918538391,2.9303292276030772,0.25742574257425743,9.62947633979934,13.483948322392633,0.09900990099009901,113.11898290797046,113.54188667614804,0.06930693069306931,5.579401601989582,6.285477899823661,0.07368421052631578
WESAD,S5,15.003412775085053,0.009900990099009901,5.5708430546494085,100,3.060858900108468,2.8151909216804967,0.04950495049504951,15.003412775085053,10.023158736336665,0.019801980198019802,100.61562385137427,122.6150643424853,0.07920792079207921,5.5708430546494085,8.048739102172833,0.1276595744680851
WESAD,S6,10.814099203633873,0.5247524752475248,6.134686607961634,100,0.600071995882545,3.5268803344176267,0.7920792079207921,10.814099203633873,12.792389405044645,0.10891089108910891,12.344025649563036,156.58440088891982,0.5742574257425742,6.134686607961634,7.026361923728883,0.07692307692307693
WESAD,S7,16.697142698044843,0.009900990099009901,10.093711617723175,100,4.29050851890563,3.3855667929908764,0.019801980198019802,16.697142698044843,10.419463586838896,0.019801980198019802,50.41700395978887,122.69122317356091,0.26732673267326734,10.093711617723175,14.62111903991224,0.20430107526881722
WESAD,S8,19.285546482748828,0.5643564356435643,3.274100545073078,100,3.6416056698761374,2.9348323344713583,0.009900990099009901,19.285546482748828,10.781874051091725,0.009900990099009901,85.01748441523279,111.46669545973266,0.10891089108910891,3.274100545073078,3.9879046922321475,0.10752688172043011
WESAD,S9,19.420145637219093,0.7128712871287128,,100,0.0,3.2848283949392436,1.0,19.420145637219093,13.704856902038058,0.009900990099009901,78.44527342983537,78.89897368391914,0.0594059405940594,,8.017664459878663,
WESAD,S10,20.041851314477753,0.8712871287128713,51.21357586797066,100,0.5559209208272666,2.850922595434998,0.7227722772277227,20.041851314477753,12.437050884957017,0.009900990099009901,54.24362541669905,121.05454448614769,0.25742574257425743,51.21357586797066,9.67994313261634,0.011764705882352941
WESAD,S11,22.970659724932716,1.0,,100,0.0,3.3645233438514306,1.0,22.970659724932716,11.790048695668881,0.009900990099009901,157.02070061512472,112.72806093895632,0.009900990099009901,,3.0441570542910554,
WESAD,S13,101.68127628876994,0.009900990099009901,-7.275079373495856,100,7.554939840508018,2.6204955216714483,0.009900990099009901,101.68127628876994,9.008239027467765,0.009900990099009901,262.7590348615929,85.11432234432674,0.009900990099009901,-7.275079373495856,10.116065376923425,0.9895833333333334
WESAD,S14,17.19000309344517,0.9702970297029703,,100,0.0,3.5079570830558042,1.0,17.19000309344517,12.0555630280296,0.019801980198019802,-8.413328185760065,128.08367620818092,0.9207920792079208,,8.354955615206427,
WESAD,S15,0.8682965594404379,0.7920792079207921,,100,0.0,2.922157270795943,1.0,0.8682965594404379,10.916990237063436,0.8613861386138614,41.687125249965106,104.40546303388876,0.2871287128712871,,15.30580259211938,
WESAD,S16,5.251879694105355,0.18811881188118812,,100,0.0,3.537643249810315,1.0,5.251879694105355,12.674656595389981,0.40594059405940597,61.30679258860329,125.851590660461,0.27722772277227725,,5.200784249496119,
WESAD,S17,4.990867164063616,0.8415841584158416,4.180743892323107,100,1.3938997105520516,3.3135059085463108,0.594059405940594,4.990867164063616,14.719279659502634,0.31683168316831684,10.913242782748398,129.03423172329522,0.6435643564356436,4.180743892323107,6.0013339166077175,0.1111111111111111
EXAM,S1,7.171948978770615,1.0,2.452725244721114,100,1.5484346193643788,3.0239660888897464,0.44554455445544555,7.171948978770615,8.220161102458599,0.1782178217821782,1206.1348491260082,422.05955157584896,0.009900990099009901,2.452725244721114,5.364505748721561,0.21875
EXAM,S1,23.077989727690237,0.21782178217821782,,100,0.0,3.216811568401939,1.0,23.077989727690237,12.037795290996119,0.009900990099009901,523.5947897467645,286.5122978912057,0.009900990099009901,,4.746845911114232,
EXAM,S1,5.386188915789489,0.2376237623762376,2.189345451668012,100,1.9604073184458932,3.264333764194819,0.42574257425742573,5.386188915789489,12.479765954268055,0.32673267326732675,289.9859458818471,231.78133902530192,0.0297029702970297,2.189345451668012,3.2441942545631295,0.16666666666666666
EXAM,S10,2.1166156344729643,0.9306930693069307,,100,0.0,3.0938479163282766,1.0,2.1166156344729643,10.658609942306953,0.6336633663366337,1373.7341401686099,420.18220868858634,0.009900990099009901,,4.924533161532479,
EXAM,S10,24.271360189597544,0.009900990099009901,,100,0.0,3.0091220268934915,1.0,24.271360189597544,10.872842680306496,0.009900990099009901,337.6814372696101,193.82277767235033,0.009900990099009901,,3.587823077650688,
EXAM,S10,11.843223288379932,0.04950495049504951,10.247763808710749,100,0.19708140543757152,2.8319983947805927,0.9306930693069307,11.843223288379932,10.378106215461466,0.039603960396039604,859.5790397484102,260.37231016678857,0.009900990099009901,10.247763808710749,4.205057211044375,0.010309278350515464
EXAM,S2,9.866206492583842,0.0594059405940594,16.61086277811944,100,0.10928780485045195,2.8993920476904798,0.9504950495049505,9.866206492583842,9.65477404740627,0.0594059405940594,1365.0607500054448,607.3987131820295,0.009900990099009901,16.61086277811944,3.9716287578011875,0.020618556701030927
EXAM,S2,2.054813493793972,0.594059405940594,-1.439472252068854,100,0.5981213614898414,3.595633962913946,0.8514851485148515,2.054813493793972,13.64868091720598,0.7227722772277227,285.5755282083575,234.7095104897685,0.04950495049504951,-1.439472252068854,2.8396543720327063,0.9263157894736842
