config,dataset,unit,n,ac1,p_rw,p_iaaft
A,NURSE,EG_1603463571,1160,0.08948353264274224,0.8807947019867549,0.37748344370860926
A,NURSE,F5_1594141473,481,0.3136162684027256,1.0,1.0
A,NURSE,15_1594149654,70,0.20110233904696193,1.0,1.0
A,NURSE,5C_1586886712,784,0.8041302304111447,0.006622516556291391,0.17218543046357615
A,NURSE,6B_1587585327,526,0.23481024622292984,1.0,1.0
A,NURSE,6D_1594757863,94,0.45744156175252043,0.152317880794702,0.039735099337748346
A,NURSE,7A_1587228286,566,0.19367742481990924,0.7218543046357616,0.31125827814569534
A,NURSE,7E_1603309557,147,0.08709213508480441,1.0,1.0
A,NURSE,83_1603966680,316,0.11901180426467986,0.9337748344370861,0.6026490066225165
A,NURSE,8B_1594153037,85,0.13785610317554306,0.7284768211920529,0.26490066225165565
A,NURSE,BG_1603681317,98,0.21935919633933987,1.0,1.0
A,NURSE,DF_1594296700,218,0.15666281614812252,1.0,1.0
A,NURSE,E4_1587236732,62,0.2621036974374684,0.41721854304635764,0.16556291390728478
A,NURSE,15_1594213322,183,0.061187087120944506,0.9139072847682119,0.4768211920529801
A,NURSE,5C_1587297777,1072,0.07727799020328756,1.0,1.0
A,NURSE,6B_1587653438,163,0.052926385539836134,0.8940397350993378,0.4304635761589404
A,NURSE,6D_1594831043,262,0.2392609050425008,0.8543046357615894,0.41721854304635764
A,NURSE,7A_1587298286,455,0.29978175761744585,0.6821192052980133,0.24503311258278146
A,NURSE,83_1604016419,1502,0.2244732615415953,1.0,1.0
A,NURSE,94_1587209323,1212,0.27912792568006256,1.0,1.0
A,NURSE,BG_1603685056,63,0.2423701927218305,1.0,1.0
A,NURSE,CE_1587568353,1091,0.17990473585743558,1.0,1.0
A,NURSE,DF_1594305457,657,0.2083443983591989,0.48344370860927155,0.11258278145695365
A,NURSE,E4_1587241555,377,0.15649937771822411,1.0,1.0
A,NURSE,F5_1594218280,161,0.05672530601699631,1.0,1.0
A,NURSE,15_1594220239,495,0.16987396321606513,0.847682119205298,0.23841059602649006
A,NURSE,5C_1587336033,80,0.16810249060043453,0.6887417218543046,0.32450331125827814
A,NURSE,6D_1594910470,682,0.17855331282965942,0.7483443708609272,0.25165562913907286
A,NURSE,7A_1587326219,91,-0.06253672962176991,1.0,1.0
A,NURSE,83_1604103283,1454,0.21922217829129045,0.19205298013245034,0.039735099337748346
A,NURSE,94_1587293342,406,0.31229260753694754,1.0,1.0
A,NURSE,CE_1587640779,205,0.22127416132320152,1.0,1.0
A,NURSE,DF_1594385893,315,0.44757941022500614,0.7682119205298014,0.543046357615894
A,NURSE,EG_1603574790,392,0.10853401506723183,1.0,1.0
A,NURSE,F5_1594223270,382,0.3123511184910839,1.0,1.0
