dataset,subject,var_exponent,var_ci_lo,var_ci_hi,var_r2,var_p_vs_pred,var_n,ac1_exponent,ac1_ci_lo,ac1_ci_hi,ac1_r2,ac1_p_vs_pred,ac1_n,kendall_tau_var,kendall_p_surrogate,n_onsets,auc_lead3,auc_lead6,auc_lead12
WESAD,S3,0.5250446421485095,0.3282835272307574,0.7321533474104193,0.19896805518186594,0.0009995002498750624,179,-0.06641778284656732,-0.17322918516525876,0.014962547141035978,0.008894562792008688,0.0009995002498750624,179,-0.16814879395524554,0.01990049751243781,4,,,
WESAD,S4,-0.031446740945661765,-0.23130326858327035,0.11273093886182534,0.0031226895235102713,0.0009995002498750624,106,0.19044376566950563,0.0836367540665782,0.36782639070838863,0.09178399899986003,0.0029985007496251873,106,-0.14599667379425044,0.004975124378109453,3,,,
WESAD,S5,-0.2416125342452034,-0.37248013965785925,-0.1365868513357341,0.10330239230045536,0.0009995002498750624,110,0.2617193069634812,0.1822780416399946,0.36211592903280676,0.17469335385927334,0.0009995002498750624,110,-0.06290865232019298,0.07960199004975124,6,0.375,0.125,0.59375
WESAD,S6,0.265501481893689,0.13075065527033777,0.4127851278445638,0.1958315190148779,0.0009995002498750624,52,-0.1992033063975593,-0.29607189353752245,-0.13555606416055502,0.2730206747154753,0.0009995002498750624,52,-0.045025125628140705,0.08955223880597014,5,0.4444444444444444,0.3333333333333333,0.2222222222222222
WESAD,S7,0.011007656911350902,-0.21066063969463164,0.18188799880455933,8.641205692756169e-05,0.0009995002498750624,98,-0.010932983035619133,-0.14526610258118733,0.0729596486419582,0.000691973467217086,0.0009995002498750624,98,0.09090909090909091,0.19402985074626866,6,0.28,0.32,
WESAD,S8,0.7417029522458473,0.5138016466898347,0.994936230534629,0.17308719840017905,0.0009995002498750624,152,-0.0949806131173541,-0.2108522320100574,0.007518780780185063,0.016439489904421706,0.0009995002498750624,152,0.46636458696409905,0.0945273631840796,3,,,
WESAD,S10,0.06858252663633817,-0.12828738854252483,0.13624193504210846,0.013205627649466171,0.001999000499750125,94,-0.288106000303079,-0.4281078551874759,-0.017798599517223568,0.09286603725127289,0.0029985007496251873,94,0.07877536979704164,0.1890547263681592,1,,,
WESAD,S13,0.10647409934020306,0.03666777191774662,0.16704354362030988,0.0413944943326388,0.0009995002498750624,122,-0.25513971792664897,-0.3299987563045996,-0.18420820366006238,0.1850002416664394,0.0009995002498750624,122,0.3324845089550972,0.13930348258706468,7,0.65625,0.6666666666666666,
WESAD,S17,-0.025697165521952486,-0.19399089504338482,0.18165960406691647,0.0009919339154637493,0.0009995002498750624,107,0.011254444171602847,-0.11284495182010752,0.11873545740860492,0.0006112873757966973,0.0009995002498750624,107,0.4478031888031167,0.11940298507462686,8,0.7777777777777778,0.7777777777777778,
EXAM,S1,1.2940770554986534,1.0763791011729371,1.5220891748657228,0.27911646340632534,0.0009995002498750624,615,-0.18056569649530507,-0.2407796693819263,-0.12903324821689263,0.03855265947521677,0.0009995002498750624,615,0.12532663316582915,0.3681592039800995,36,0.525,0.5015873015873016,0.4651260504201681
EXAM,S1,0.10431272288885898,-0.2808936613590074,0.39043425937714255,0.0046358186368859805,0.00399800099950025,77,0.2406011432248572,0.0355812795060871,0.5286508241242923,0.08073858470105529,0.07196401799100449,77,0.4028140703517588,0.12935323383084577,4,0.6875,0.6875,0.3125
EXAM,S10,0.6637855416377834,0.016835061448598993,1.9289195790240887,0.013838830665614603,0.0009995002498750624,227,0.30301773323930153,0.035647812755165875,0.6501249464225013,0.017562002675618936,0.2178910544727636,227,-0.3015075376884422,0.7562189054726368,8,0.52,0.6,0.7
EXAM,S2,0.8206561977691508,0.5144897984251023,1.1645366614266435,0.10664282701354705,0.0009995002498750624,407,-0.08689711621112985,-0.16640674737971495,-0.015607775091536146,0.009149354945016322,0.0009995002498750624,407,-0.3381909547738693,0.7313432835820896,21,0.5197368421052632,0.49736842105263157,0.4085872576177285
EXAM,S2,-0.5063471253093954,-1.0192505710158868,-0.17882301885369387,0.03740020064753666,0.9225387306346826,255,-0.02910279381375362,-0.1372325596890337,0.10162613957541922,0.0005213856258145342,0.0009995002498750624,255,0.4492462311557789,0.1044776119402985,3,0.6666666666666666,0.7777777777777778,0.5555555555555556
EXAM,S2,0.46582641245116746,0.13072366159499577,0.9285917686637527,0.037242870835547386,0.0009995002498750624,128,-0.09927162227486022,-0.24472957788739097,0.03911802751732131,0.00843229058512496,0.0009995002498750624,128,-0.22170854271356782,0.6766169154228856,9,0.59375,0.4765625,0.65
EXAM,S3,-0.3431484000505284,-0.859885275733655,0.06073805542476755,0.01770879382953752,0.5807096451774113,447,-0.228331148112551,-0.3094694641179947,-0.16248342041472597,0.06340247082118385,0.0009995002498750624,447,-0.1965829145728643,0.3781094527363184,43,0.5049361207897793,0.5351037851037851,0.5306620209059233
EXAM,S4,-0.1528877029192811,-0.4375273019819813,0.14789470500858856,0.004001693329845001,0.012993503248375811,500,0.24427028720883023,0.15611045137044652,0.33761863264373637,0.07184055576707016,0.0009995002498750624,500,-0.11517587939698493,0.572139303482587,2,,,
EXAM,S5,-0.7190267587013778,-0.891427048050751,-0.5516781674084894,0.13040958555149174,0.008995502248875561,468,0.3434535297261599,0.2652859670719906,0.4202011068808685,0.1510071556724962,0.001999000499750125,468,0.22120603015075374,0.24378109452736318,38,0.44771468144044324,0.44771468144044324,0.4425207756232687
EXAM,S5,-0.23761436412662482,-0.5506348074101856,0.07331702714609144,0.007573412582032467,0.095952023988006,357,0.24361910816863064,0.11716760075577043,0.3664655736573536,0.055728826130056607,0.0009995002498750624,357,-0.21939698492462312,0.6616915422885572,24,0.5130208333333334,0.4522569444444444,0.3446969696969697
EXAM,S7,0.19494533409590104,-0.008627571672330796,0.4100742227208987,0.0043822430415808595,0.0009995002498750624,566,-0.06396764723978089,-0.13241886042201384,0.0051024397782971865,0.0042401479678357305,0.0009995002498750624,566,-0.3786934673366834,0.21393034825870647,22,0.4834710743801653,0.5227272727272727,0.4954545454545455
EXAM,S7,-0.059551609158934274,-0.32252107815735503,0.19236295883078164,0.0011528855540765244,0.0029985007496251873,169,0.060186036710285704,-0.03980254200814285,0.15271427405185273,0.01032212523797604,0.0009995002498750624,169,0.18040201005025122,0.3880597014925373,15,0.56,0.5777777777777777,0.43777777777777777
EXAM,S8,0.4463823831063562,0.19467835041922274,0.7154644541030385,0.03255890423184466,0.0009995002498750624,563,0.15670614873505417,0.05577049319217287,0.2505091777811177,0.026061608010987426,0.0009995002498750624,563,-0.5878391959798994,0.9701492537313433,27,0.5404663923182441,0.49928774928774927,0.4529320987654321
EXAM,S8,-0.8342950358481455,-0.9491613396716047,-0.7359206424080147,0.4465154621686239,0.0009995002498750624,274,0.44614174536391177,0.3223577330409268,0.5957064394971731,0.24991435791425173,0.4737631184407796,274,0.2669346733668342,0.263681592039801,16,0.560546875,0.5078125,0.36666666666666664
EXAM,S9,-0.6804530575139289,-0.9403983002869561,-0.4108750301118857,0.0784908343069286,0.17791104447776113,435,0.6377208992068546,0.4729945485233828,0.8206597569651832,0.11720244996748687,0.11894052973513243,435,0.3325628140703517,0.24378109452736318,19,0.5457063711911357,0.5166204986149584,0.4279778393351801
EXAM,S9,-0.7180830814047914,-1.0325619430785868,-0.38502335452400455,0.044484661409010175,0.1969015492253873,380,0.10705072147674649,-0.004235308701278328,0.231405837141885,0.010066015354787747,0.0009995002498750624,380,-0.33969849246231154,0.7910447761194029,4,0.34375,0.1875,
NURSE,15_1594140175,-0.2618914510144518,-0.5373046250921675,-0.016717308990745736,0.04787578434884624,0.12393803098450774,119,-0.11218423388867992,-0.23092633478584165,0.0215022569325833,0.018116695904349778,0.0009995002498750624,119,-0.07467336683417085,0.5572139303482587,7,0.47959183673469385,0.673469387755102,0.7619047619047619
NURSE,15_1594149654,,,,,,3,,,,,,3,,,2,,,
NURSE,15_1594213322,0.30294836720339013,0.10682597105038355,0.5051710487646565,0.09960339345046121,0.0009995002498750624,84,-0.033024665621919844,-0.16203650567221445,0.09965745649167766,0.002930915851167457,0.0009995002498750624,84,-0.1775025799793602,0.009950248756218905,8,0.4166666666666667,0.275,0.0625
NURSE,15_1594220239,0.029678979079231053,-0.08908628110047985,0.14893307002212428,0.0006174671135248472,0.0009995002498750624,386,0.03813458924329404,-0.02157857704739693,0.09559888893656737,0.004824458439559799,0.0009995002498750624,386,-0.1673366834170854,0.5771144278606966,29,0.5185185185185185,0.42724867724867727,0.5478395061728395
NURSE,15_1594238057,0.2788334446043037,-0.11639637940018767,0.37908938778784973,0.3537852613613434,0.0009995002498750624,23,-0.22415368716993136,-0.3031952825864844,-0.09081776600016692,0.5910209372877755,0.0009995002498750624,23,0.6032193158953723,0.06467661691542288,5,,,
NURSE,15_1594325201,-0.21656834658011712,-0.38400402178972914,-0.08543481804274304,0.04416795553181682,0.0029985007496251873,138,0.27651153790190824,0.13954906994895597,0.4614597045687583,0.10036783715740977,0.01899050474762619,138,0.23239235814086115,0.03980099502487562,13,0.4583333333333333,0.5416666666666666,0.375
NURSE,15_1594380033,-0.08480951510753643,-0.18469752446285537,0.02512780411904723,0.03500120360153091,0.0009995002498750624,75,0.21064860409136532,0.06222643453958117,0.34928766136272066,0.10211305799351952,0.0009995002498750624,75,-0.42663316582914573,0.2736318407960199,13,0.3884297520661157,0.42727272727272725,0.5454545454545454
NURSE,15_1595347920,-0.05954724807741292,-0.2221709836866152,0.3234175019811688,0.007962572477753017,0.0009995002498750624,33,0.07977061652198567,-0.06446946480619778,0.24069634502906154,0.046869015151078525,0.0009995002498750624,33,,,4,,,
NURSE,15_1595360012,,,,,,10,,,,,,10,,,1,,,
NURSE,15_1595425036,-0.13501831241112255,-0.27485020688536144,-0.01418632010144283,0.027449509351441286,0.0009995002498750624,117,0.10061661940758806,-0.001689590988608548,0.18920739499224512,0.04035232932414137,0.0009995002498750624,117,0.3313355309159924,0.15920398009950248,12,0.44545454545454544,0.4888888888888889,0.6416666666666667
NURSE,15_1595433234,0.007921643086397713,-0.16018677853606425,0.20945653328199745,8.924576046928904e-05,0.0009995002498750624,100,-0.01798186034901199,-0.10735118526773965,0.10597798191514428,0.001596583980329047,0.0009995002498750624,100,-0.456176673567978,0.6517412935323383,10,0.5,0.4880952380952381,0.5
NURSE,15_1595446619,-0.051321291212535695,-0.2062111227285205,0.11431064470275963,0.00290132124468893,0.0009995002498750624,137,0.0611979644574982,-0.05839701506518832,0.1665710438059292,0.008740873035157769,0.0009995002498750624,137,-0.06231155778894472,0.46766169154228854,9,0.6234567901234568,0.6419753086419753,0.8611111111111112
NURSE,15_1595600598,-0.09747257888978443,-0.1688505013127357,-0.04463531355426426,0.12114874241005913,0.0009995002498750624,44,0.04747532795643292,-0.031521221175170124,0.11379527937608992,0.02854283710315224,0.0009995002498750624,44,-0.6588235294117647,0.20398009950248755,3,,,
NURSE,15_1595608145,0.07765925624922496,-0.05256805960391875,0.21386912894046828,0.005923112674840367,0.0009995002498750624,230,0.0022114468678591927,-0.08031366937796552,0.08298448443388733,1.3775387957604924e-05,0.0009995002498750624,230,-0.23768844221105523,0.38308457711442784,19,0.5015432098765432,0.5261437908496732,0.4503968253968254
NURSE,15_1595854651,,,,,,3,,,,,,3,,,4,,,
NURSE,15_1595857850,-0.2711615832653285,-0.42732200783048874,-0.14743406284181354,0.31077157682062856,0.004997501249375313,33,0.29035379992764043,-0.04908292470807133,0.745329086497192,0.08236642785678729,0.31284357821089454,33,,,2,,,
NURSE,15_1595947283,-0.17668869601704656,-0.42765559146453724,-0.05283474530872513,0.11486769374620995,0.012993503248375811,56,0.04056031622294812,-0.0027134245920670264,0.1075487002037039,0.03929994620422996,0.0009995002498750624,56,0.5002012072434608,0.13930348258706468,5,,,
NURSE,15_1595953571,0.039159699920360946,-0.09781152715675667,0.17521849603529688,0.001639065126330204,0.0009995002498750624,166,-0.038345823446614066,-0.12488002853198946,0.03701034663768327,0.004835002582649375,0.0009995002498750624,166,-0.2178894472361809,0.5472636815920398,15,0.5088888888888888,0.5177777777777778,0.6476190476190476
NURSE,15_1596027852,-0.03346450442593577,-0.36836870996129994,0.32899025550185895,0.0017622931697025108,0.0079960019990005,37,-0.07110891332452361,-0.2768404095545369,0.0887475140886242,0.02396860806610938,0.0009995002498750624,37,-0.3152763819095477,0.3034825870646766,8,0.6111111111111112,0.6388888888888888,0.4722222222222222
NURSE,15_1596037241,0.005399932055188407,-0.0920716435375722,0.11042811584428529,5.781893900725892e-05,0.0009995002498750624,187,-0.09981414191822434,-0.15584353694754438,-0.04319607311625202,0.06923557426051713,0.0009995002498750624,187,0.31206030150753766,0.12437810945273632,22,0.4869047619047619,0.46904761904761905,0.4930555555555556
NURSE,15_1596204744,-0.044892198307401134,-0.23180032391358701,0.16710954539359388,0.0024077658873042688,0.0009995002498750624,73,0.009622323790905402,-0.11836966973986579,0.13979879979193294,0.0002859719982548004,0.0009995002498750624,73,0.23859296482412057,0.21393034825870647,6,0.5555555555555556,0.5833333333333334,0.6166666666666667
NURSE,15_1596219716,,,,,,9,,,,,,9,,,4,,,
NURSE,15_1596222922,-0.7418801512028642,-1.2204899267623786,-0.49885311779570174,0.2021002991966897,0.051974012993503245,147,0.21457294463774867,0.12148542086069593,0.3082469348288442,0.0607358847761572,0.0009995002498750624,147,-0.3743335171906601,0.22388059701492538,4,0.3333333333333333,0.7777777777777778,
NURSE,15_1596547439,,,,,,7,,,,,,7,-0.1923392612859097,0.09950248756218906,4,0.3333333333333333,0.1111111111111111,0.4444444444444444
NURSE,15_1596551659,0.03737333930384001,-0.10751690986531617,0.20220599545706763,0.0006626485173606212,0.0009995002498750624,343,-0.021876335211235453,-0.11446172964285312,0.06121637525666195,0.0006950769410375965,0.0009995002498750624,343,0.07567839195979899,0.417910447761194,21,0.4605263157894737,0.42894736842105263,0.35855263157894735
NURSE,15_1596564517,0.32534541368103465,0.226485290515913,0.4547986150034498,0.13314687311259943,0.0009995002498750624,214,-0.16818364441736366,-0.23018742010619994,-0.11088384533422621,0.11398366846555641,0.0009995002498750624,214,0.35798994974874365,0.024875621890547265,16,0.5044444444444445,0.4357142857142857,0.3952380952380952
NURSE,15_1596636683,0.1795707857128895,0.0595761034621375,0.3085885185136914,0.04312575446223849,0.0009995002498750624,173,-0.11552111233424542,-0.2030122140524523,-0.03078806464449524,0.033198008230775865,0.0009995002498750624,173,-0.2622110552763819,0.1044776119402985,13,0.5537190082644629,0.5289256198347108,0.32231404958677684
NURSE,15_1596653112,-0.007737368922163007,-0.07387386359825042,0.05091958911062036,0.00044507195595172697,0.0009995002498750624,131,-0.14874461781119203,-0.26476960047204623,-0.03391555209856442,0.06897283182576354,0.0009995002498750624,131,0.19651264167393195,0.05472636815920398,13,0.36538461538461536,0.4551282051282051,0.4
NURSE,5C_1587297777,0.027817463570227463,-0.051211223150234464,0.10265798445028625,0.0007088095539629401,0.0009995002498750624,780,-0.05549139698248862,-0.10866704267159448,-0.004945359281294957,0.005781796993262736,0.0009995002498750624,780,-0.4737688442211055,0.40298507462686567,34,0.44536271808999084,0.4522497704315886,0.5050505050505051
NURSE,5C_1587336033,0.34420071924791984,0.12644380859192134,0.5775484112391623,0.309067200220136,0.0009995002498750624,47,-0.22750069057127953,-0.4551474888729314,-0.023537157293290933,0.15581992527788757,0.0009995002498750624,47,,,4,,,
NURSE,5C_1587569014,0.14157106463621721,0.04693903386485057,0.2312330958980762,0.04667218898941158,0.0009995002498750624,189,-0.07258227986888918,-0.15036297475167532,-0.0013185533926022765,0.02597588891403664,0.0009995002498750624,189,0.06251256281407035,0.1044776119402985,12,0.49586776859504134,0.34710743801652894,0.3512396694214876
NURSE,5C_1587593875,,,,,,0,,,,,,0,0.14987885081343022,0.15920398009950248,2,,,
NURSE,5C_1588974475,0.6271836731139155,0.4498074594588549,0.828913014250747,0.1869316305510855,0.0009995002498750624,276,-0.055756073373041344,-0.1459795813456355,0.027062446829755307,0.00893685124865054,0.0009995002498750624,276,0.38492462311557785,0.21393034825870647,9,0.5370370370370371,0.48148148148148145,0.5432098765432098
NURSE,5C_1589028738,-0.3691919256007308,-0.509427244965537,-0.2113120103297252,0.06136067543291819,0.07496251874062969,562,-0.035681619454286495,-0.16443606410571238,0.07948337863903804,0.001772329109003598,0.0009995002498750624,562,0.42422110552763814,0.17412935323383086,10,0.5185185185185185,0.654320987654321,0.5138888888888888
NURSE,5C_1589199875,0.02528160882159477,-0.07386363630070704,0.14780044851743268,0.001537673019880323,0.0009995002498750624,182,0.00015710265017477353,-0.09624780147412575,0.07897446602305515,1.0233313408385106e-07,0.0009995002498750624,182,-0.3754773869346733,0.14925373134328357,9,0.6666666666666666,0.7407407407407407,0.2222222222222222
