n,true_beta0,true_beta_S,true_beta_T,true_beta_U,true_alpha0,true_alpha_A,true_lam,true_sigma,true_eps,est_beta0,est_beta_S,est_beta_T,est_beta_U,est_alpha0,est_alpha_A,est_lam,est_sigma,est_eps
100,0.1987017508928055,0.8653377217803597,0.3128923315017316,0.16406916960727888,1.7933401626740955,0.961990735048072,0.22910724808653654,0.33818486106041473,0.06302391720387342,0.35182112854546205,0.6782032700277097,0.44066662602761947,0.6154990617307584,1.777140065380959,2.026514228735959,0.27621363338360055,0.31452146269976705,0.014266638095777856
100,-0.08097878619172166,0.3342665871906812,0.4820401712990255,0.21865676932297437,1.6612430603379302,0.1185488835818845,0.160050180226589,0.334473542438264,0.06479054153433603,-0.19787926598698535,-0.071439723634848,0.3681943736292977,0.22490652317581822,2.397848833019982,-0.80329315921052,0.2239248403662402,0.3058638461825192,0.008160188089930926
100,-0.22665085452599457,0.8104747642314973,0.15420343309235984,0.05740084080695884,1.6185833179336548,0.5543029672053936,0.22579656386813685,0.3379203360921754,0.027656918578270934,0.06401771547053016,0.5298041358303315,-0.12991996882496482,-0.6785144948251095,2.023491244851126,-0.38789941163807673,0.21986267613181976,0.282910173322168,0.07031027520791223
100,0.1761809025613048,0.47948372758885127,0.49955069557727305,0.08825845482612467,1.5736306964350282,0.5488400110489328,0.14859110085878274,0.3959812920168533,0.06850121161952935,0.24078067602934208,1.1978590707309633,0.5366770613731365,-0.5687992737136754,0.9140713118499797,19.348003583755716,0.12339788849305174,0.38897934614943575,0.001
100,0.16706124529107558,0.8082918642781367,0.29279852868032064,0.2768865970102502,1.385817730669773,0.5613149572488105,0.21854395545959787,0.31184578621457315,0.03910255187121684,-0.012633735022076906,0.6441077091547335,0.36394753790117973,-0.030985720333142088,0.9419204957460937,62.30210054088013,0.21192178628257932,0.265209932368733,0.001
100,-0.2788713114423252,0.8899712489144513,0.4211285020471274,0.19115057578178068,0.8980409826046836,0.47780021261357664,0.2042031232797964,0.2672234819702689,0.09797265741611597,0.033449813068392883,1.2599428794518617,0.5953035381350058,-0.20353966041694588,0.28015604056450233,1.0335309559977581,0.21704962970861394,0.27367148011063197,0.06046903583719992
100,0.08620815400733495,0.2033281788373299,0.07328219163980465,0.37743360880835053,0.7993299388394832,0.2809902829435671,0.21305866644630045,0.2454981674860524,0.027377279566588815,0.6880012350552546,0.10348480420095793,-0.013744995784971615,0.854473983637226,-0.27943416566583185,10.080771268311311,0.19302259206326225,0.24882621539399516,0.0018543039658639546
100,-0.3755506521506593,0.20304914269513372,0.33816094610559844,0.09121762113333652,1.1683947759176476,0.5614403426926616,0.08122593182098563,0.38725456141392545,0.041369829848582396,1.4884257149377609,-1.043834410840523,-2.9947390367133906,1.4254757175292467,0.6495920446527019,-8.331439012130955,0.028017405238895,0.351158851959868,0.3
100,0.3828373763538122,0.8519933501312984,0.3399752314551631,0.030859822473687706,1.3929448866553524,0.2863258914014031,0.17097424062019675,0.44751967703038165,0.04245890096149732,-0.19150954790435915,0.8630217000548045,0.3833475970233643,-0.18887674074634925,0.49479205618126015,1.2749663235433422,0.17102159353677335,0.4976508646070691,0.3
100,0.3107326086661334,0.25595514195747443,0.14876514126352863,0.1274783328134364,1.7967171608560772,0.6727162217976554,0.0965840239500151,0.4339300932211788,0.07524793401417974,-4.314174471923685,1.6430721915012425,1.2193216574410937,0.8390955858617835,-0.957929536782082,58.993601482866765,0.08307709027281043,0.3979669207817026,0.11425514149939296
100,0.25259171080004017,0.32125086569766503,0.042657701709997276,0.23992098536186934,1.6642284713282556,0.12380927979369102,0.07437401863787532,0.33160519972200786,0.020935344485872635,-1.4345214379023017,-0.07046359496839727,-0.18691026799472213,0.13950935162216432,1.5095872446297927,-3017.9170648617983,0.08886979822791137,0.3409123953020973,0.001
100,0.2567422785492409,0.780793362215906,0.03621606066397243,0.20246779754969332,1.1021130080020123,0.21920806689829087,0.08112207831100496,0.23532561581519973,0.024590539987975106,0.46348597559042487,0.7067747917956393,0.24073634365622826,0.6444631988510332,1.3941991022441278,-19.887192810942224,0.09473206076530696,0.22028580430523775,0.001
100,-0.35230825995671594,0.8036420293959143,0.161356727051012,0.10902275109959354,1.620853898441208,0.4082949434463853,0.2365395708312628,0.3339418748397265,0.042057210204936066,-0.8910551392209793,-0.1358512092110727,0.22152134643683513,-0.10934310503471634,3.624284892858025,-10.712344677859823,0.25459125293785984,0.2877540054219673,0.0032950048221087437
100,0.13257358023348265,0.5724522335597595,0.033518001802839315,0.39100685146816533,1.5212347782506077,0.35627867184024686,0.14395706994121824,0.34710048764880064,0.08730756913476273,0.40797641043025873,-0.19209833489942083,0.2466245782947063,0.6272244484994441,1.2576305820749882,-1.5278358799566574,0.14698690921842195,0.366584339107532,0.3
100,0.3307168170833882,0.43636873906407325,0.15849969953594795,0.09905738101957483,1.3093315192653818,0.5607125983406516,0.1934625261484328,0.2988404665733154,0.0695335723255362,1.668147078222409,1.007064149814031,1.4722169780747465,0.25856222982572274,-0.8485916796722736,4.779273577060371,0.1606659997492508,0.31016609022531033,0.0072408386953643706
100,0.31518535039220863,0.4394572724154388,0.2507852792416581,0.3100293823975978,0.5145364608309997,0.7807337470355102,0.19381784177974531,0.3976525096394412,0.08821580934776578,0.5289275818080474,1.6310590632664814,-0.6900074279719973,-0.008144229132122243,-2.021119036774119,2.202114079605428,0.14764341176714155,0.324125180882776,0.1521919607866853
100,0.2593608887444788,0.393500920687203,0.21174745439834652,0.36455541489449783,1.1193290213724159,0.7686802970539142,0.14482753961347272,0.37327182396120223,0.03921441731866893,0.9229489928384562,0.8433842014791496,-0.07222018338028159,0.2974812548502143,1.2668423076437552,-0.2631252388726799,0.15821012882000615,0.33748454948775103,0.04476686618186391
100,-0.014969266463762676,0.7930242889566927,0.3477333042274061,0.17707022877419676,0.7361289368097561,0.843249551612681,0.22975227787761032,0.16070632898107115,0.026227914574526133,-0.16625933584100253,0.9184855603703891,0.3195472323324609,-0.013953238973586631,0.7484168725997098,0.8468508904595733,0.1946899618213658,0.1646396554483818,0.04362871012406318
100,-0.12105554355382325,0.3704315599519534,0.4573067096100904,0.3437850469883388,0.8280877163446512,0.6643017811551719,0.22567248839130705,0.384427249593578,0.024450217365659263,0.27957220713217595,0.5940037760527218,0.697715852685606,0.41064806304077694,0.1795120641647019,0.9876192269646162,0.2659500301613426,0.3172781732526308,0.033404062928123826
100,0.13436513554036855,0.34497579722120963,0.1056209695278853,0.2832170180430142,1.2691359887024707,1.0928539700648277,0.1030459285408878,0.36547951614220264,0.04578003705704737,0.9711612604736707,-0.357036890197249,-0.6438292962564531,-2.791498278059842,1.0910728867594128,-6.557897844041672,0.03699667749604308,0.29524640226478227,0.07266239655272168
100,0.22285540057657727,0.22303308142697534,0.3776590702843578,0.3926489332243796,0.5818892896932224,0.7618568764404119,0.05683554264470476,0.2390259582195492,0.07611619005654423,-1.0864776813886663,2.469057527556986,2.5238574497023385,0.7897286877428191,-1.6816630754876942,-14.540185704298699,0.044968909521258565,0.24546043000172402,0.0704759508463679
100,-0.1882865881241063,0.25255609600466045,0.38361377664431856,0.2338913111030205,0.5009557383318803,0.1884696404887598,0.1360327911990138,0.27555805038500675,0.060622141791283245,0.1460024434195709,-0.17121261394321874,0.09318501844779759,0.3165843332003059,1.1849842482771031,0.2445679234485863,0.25400096500548264,0.26998889164589873,0.3
