dataset,subject,state,n_episodes,mean_dwell,cv_observed,cv_geometric,overdispersion,ks_stat,ks_p
WESAD,S2,overloaded,21,5.857142857142857,2.1910531396561668,0.9106416928094863,1.2804114468466805,0.3321808751358525,0.014437593078886812
WESAD,S2,stuck,19,2.8947368421052633,0.8304136179395807,0.8090398349558905,0.021373782983690193,0.34545454545454546,0.01574635001024216
WESAD,S3,overloaded,17,8.823529411764707,1.6052414148656888,0.941629792788369,0.6636116220773198,0.2853129237472768,0.1019848504088624
WESAD,S3,stuck,10,3.0,0.8299933065325821,0.816496580927726,0.013496725604856041,0.35555555555555546,0.12299536623811624
WESAD,S10,overloaded,13,11.23076923076923,2.182772583922662,0.9544416714024954,1.2283309125201667,0.4482634088959133,0.006681274849049013
WESAD,S10,stuck,12,3.0833333333333335,1.3003904566183142,0.8219949365267865,0.47839552009152775,0.32432432432432434,0.12673344432546974
WESAD,S11,overloaded,10,9.2,1.5899316959327432,0.9440891630699332,0.64584253286281,0.39442344045368616,0.0650332100609774
WESAD,S11,stuck,11,2.0,0.674199862463242,0.7071067811865476,-0.032906918723305534,0.5,0.0045651785954419636
WESAD,S14,overloaded,15,6.933333333333334,1.132576394748199,0.9250779592927457,0.20749843545545332,0.33234097633136106,0.05600999397406359
WESAD,S15,overloaded,17,7.9411764705882355,1.9922208106967934,0.9349192874650057,1.0573015232317875,0.43250327096240115,0.0020864475517323733
WESAD,S15,stuck,15,2.3333333333333335,0.9979570969470273,0.7559289460184544,0.24202815092857288,0.4285714285714286,0.005110156681122691
WESAD,S16,overloaded,8,12.75,1.713303667742764,0.9599836599916587,0.7533200077511053,0.36258462301278227,0.18950037929973018
EXAM,S1,overloaded,12,20.083333333333332,2.6919037168463125,0.9747858579604384,1.717117858885874,0.5327388899470953,0.0010453752717917298
EXAM,S1,stuck,13,8.538461538461538,2.158856331639662,0.939618477299634,1.2192378543400282,0.45742224778017326,0.005245678541217935
EXAM,S2,overloaded,64,10.0625,4.953325609094854,0.9490105995258549,4.004315009568999,0.423538055914668,6.268702656901282e-11
EXAM,S2,stuck,62,2.7419354838709675,1.0438152006032393,0.7970533969860857,0.2467618036171536,0.3647058823529412,6.725559866932267e-08
EXAM,S2,overloaded,17,15.0,2.270584848790187,0.9660917830792959,1.304493065710891,0.42573510594690556,0.0025962305297775323
EXAM,S2,stuck,12,9.833333333333334,1.4350838549660634,0.947789578306157,0.48729427665990643,0.3902853586134254,0.037105489133723024
EXAM,S3,overloaded,14,13.785714285714286,1.33168685871021,0.9630478388410272,0.3686390198691828,0.3113453708964464,0.10543585912077758
EXAM,S4,overloaded,17,17.941176470588236,1.7117140716705772,0.9717315962146992,0.739982475455878,0.43016909474413134,0.002250861518559466
EXAM,S4,stuck,9,5.222222222222222,0.9879307886165021,0.8991721961325719,0.08875859248393014,0.20924500779638866,0.7529052647973631
EXAM,S5,overloaded,13,16.076923076923077,1.2995870634800355,0.9684002494125046,0.3311868140675309,0.3410055067068414,0.0748468011553991
EXAM,S5,stuck,10,15.0,1.6698636005507888,0.9660917830792959,0.7037718174714929,0.2552643664941443,0.45798908855275644
EXAM,S6,overloaded,42,14.404761904761905,4.109713522373688,0.9646649741732589,3.1450485482004287,0.4138496175382481,5.023535010022159e-07
EXAM,S6,stuck,29,2.6206896551724137,0.8527290392641923,0.7863975156570492,0.06633152360714312,0.381578947368421,0.00026301690593994104
EXAM,S7,overloaded,16,22.375,2.1468729323215014,0.9773982108484917,1.16947472147301,0.4831377802110989,0.0005837784098359222
EXAM,S7,stuck,14,1.9285714285714286,1.736006169667847,0.693888666488711,1.042117503179136,0.5185185185185185,0.0005023016533908486
EXAM,S8,overloaded,25,10.4,1.5867424111335588,0.9507082380237135,0.6360341731098453,0.22384615384615386,0.13958051274343597
EXAM,S9,stuck,49,1.7346938775510203,0.5558123205184808,0.6507913734559685,-0.09497905293748765,0.5764705882352942,5.800633568212469e-16
NURSE,15_1594140175,overloaded,8,19.75,1.0385148332136036,0.9743547036924464,0.06416012952115724,0.15989278017064856,0.9667618946794029
NURSE,6B_1587569373,overloaded,14,19.142857142857142,2.356862453293984,0.9735302738127103,1.3833321794812738,0.7334754797441364,3.1937819465994325e-08
NURSE,6B_1587569373,stuck,29,5.551724137931035,1.0885702307053797,0.9054699202058097,0.18310031049956998,0.18012422360248448,0.26963125599118554
NURSE,CE_1586788313,overloaded,11,24.727272727272727,1.4650539245127137,0.9795707343165229,0.4854831901961908,0.4169655647569792,0.030188592507731538
NURSE,CE_1586788313,stuck,10,1.0,0.0,3.16227779099239e-05,-3.16227779099239e-05,0.9999999989999999,2.0000016548080363e-90
NURSE,15_1594149654,overloaded,13,4.230769230769231,0.845405668186376,0.873862897505303,-0.028457229318927024,0.23636363636363633,0.399504566074367
NURSE,15_1594149654,stuck,9,1.2222222222222223,0.51425947722658,0.42640143271122094,0.08785804451535911,0.8181818181818181,4.434767506688549e-07
NURSE,6B_1587585327,overloaded,33,8.454545454545455,2.713969406229635,0.93899969654283,1.774969709686805,0.5350066744447598,2.354299386255866e-09
NURSE,6B_1587585327,stuck,50,1.74,0.6482799380323482,0.6521405955174383,-0.0038606574850901243,0.5747126436781609,3.584637444120522e-16
