,calm,focused,stuck,overloaded,recovering
calm,0.5710388046941923,0.25414698981943995,0.08939695374139565,0.048380214707934896,0.0
focused,0.25008718782985256,0.5564114661764132,0.0888249029914344,0.08589337421923098,0.00026455026455026457
stuck,0.12215021596718272,0.14836219996835529,0.4308300709699029,0.0744970419665755,0.029716026683539273
overloaded,0.022464274792158463,0.02302275325828054,0.03701532699554912,0.8622923682735819,0.05520527668042957
recovering,0.0,0.0013736263736263737,0.07212504517568653,0.38611036828428785,0.2626131823886216
