dataset,subject,CHM,Markov,Logistic,HMM,OU,GBM
WESAD,S3,0.6064476891563262,-0.6663230456309881,,-10.843807564353556,1.23286672851176,-18.859867236287407
WESAD,S4,1.1044924852271927,-0.38265275482289607,,-6.586014129457524,1.349794682577588,-134.42108549252458
WESAD,S5,1.0075010687493307,-0.36409729240135946,,-7.04214194563927,0.8750650482597602,-73.91292106965683
WESAD,S6,0.18921197004845997,-0.7530542087887857,,-17.665423124464123,0.96221733529299,-28.781233253397023
EXAM,S1,1.7207091747939136,-0.5424272450652072,,0.5432952716946989,1.5091002902423782,-5.286720990261242
EXAM,S1,1.0701410103650884,-0.4561309640743675,,-59.51644726203102,1.4057886256586596,-12.070939633475682
EXAM,S10,1.3584661190308573,-0.5137300065761247,,-135.7101631679349,1.0428656798451488,-9.628994612629036
EXAM,S2,2.0510533068526215,-0.6104422627909207,,-70.13634933861819,1.6448996445876087,-27.209415593204568
EXAM,S2,2.559850421438023,-0.25397602999173846,,-17.094851607165946,1.468326829850215,-25.971733817259327
EXAM,S2,1.7710900752250454,-0.49625903488455325,,-25.579014924571204,1.3688202411005692,-25.560952341303018
EXAM,S3,1.685196519679328,-0.5848836920998537,,-1.9053482788041123,1.5210850134488958,-29.77918962353325
EXAM,S4,0.32740416112544296,-0.523338959402331,,-8.54636572404645,1.2641002606885048,-25.77247324802307
EXAM,S5,-1.9976013034010682,-1.111187841723674,,-14.229218649559295,0.5031460709325264,-37.74014465172192
EXAM,S5,0.15313639243257482,-0.8931896557961402,,-47.52341263912499,1.1065988859110865,-38.665643508613456
EXAM,S7,0.9710061541316986,-0.8227038692420384,,-11.503310592586127,0.98461352755015,-8.176138741009364
EXAM,S7,-1.203904421920594,-0.7940219048022096,,-7.851311106594994,0.8452766571706662,-19.500980323361112
EXAM,S8,1.0195691354166048,-0.9492504959158838,,-9.204264685631323,1.3588143846178338,-137.23402793787938
EXAM,S8,1.2173073443123452,-0.8985715123584479,,-23.59241131964935,1.2289409255000738,-18.324936904307144
EXAM,S9,-7.139663401692107,-1.0945198756236352,,-96.11692015219654,-0.23365869585721893,-13.13639158617183
EXAM,S9,-0.7340574953835333,-0.7347083731368662,,-3.833114070099782,0.9522252865873602,-20.689515937121275
NURSE,15_1594140175,0.9100507251421437,-0.5812401561674344,,-8.217354444213566,0.7828332915799903,-4.67003927943104
NURSE,15_1594220239,-0.0992303217987723,-0.8828565496837438,,-5.85641242793703,-0.07795832036090272,-8.594945727488028
NURSE,15_1594380033,-0.31971649480146286,-0.7737343133018333,,-6.733950835865133,-0.2960652137685013,-9.526385503550149
NURSE,15_1595446619,-1.6501008079383515,-0.8125893179294448,,-18.562520278471343,-1.2802113840329978,-10.829806008781144
NURSE,15_1595608145,0.5073060704270289,-1.1316341398595258,,-5.337569040053021,0.14554695886985297,-6.854715574471062
NURSE,15_1595953571,-0.8300339918238888,-0.6923680254700548,,-6.065704312288954,0.6668751304045029,-41.90803785943639
NURSE,15_1596027852,0.8458163455563099,-0.8075737662333923,,-9.332305905788314,1.1693085057034072,-22.872208580352275
NURSE,15_1596037241,0.358623064012994,-0.9422342333551905,,-6.382207556977508,0.715901497209994,-10.942002741100989
NURSE,15_1596204744,-0.6302518401497165,-0.7573701350157801,,-7.877966696723773,0.8776940648220363,-9.551796875504214
NURSE,15_1596551659,-0.04258864362836503,-1.011162015335969,,-80.38949361951843,0.7749572753698424,-20.015549463202095
NURSE,15_1596564517,-0.34659706185634087,-0.7703977807336158,,-7.952522625694973,-0.22901668111113022,-19.23130992278147
NURSE,15_1596636683,0.35852864010955937,-0.7864121907042539,,-7.607749775681403,0.38821489856489017,-12.217714372197522
NURSE,15_1596653112,-0.7477656082946597,-1.1739736178563942,,-11.939669196978297,0.16111293131213383,-20.441522806177307
NURSE,5C_1587297777,1.1937630206444125,-0.8582514286905581,,-4.935690423673117,1.3264723975209995,-24.837808158606713
NURSE,5C_1587569014,1.2326798942788084,-0.6173885576360562,,-52.518511618294134,1.1943330996957555,-93.1641960890888
NURSE,5C_1588974475,-6.449186211788712,-1.0622702672910258,,-12.27687891888062,-3.9176903707137036,-605.4049870334879
NURSE,5C_1589028738,-7.877576662364793,-0.34360869354615875,,-9.326650628642478,-0.28355920974984955,-117.02415126847839
NURSE,5C_1589199875,1.7624865170292692,-0.45077326670960344,,-6.9794133963297424,1.6588233812545874,-450.2431335977599
NURSE,5C_1589286789,2.033536060402152,-0.7270270880791301,,-10.886635767359264,1.7260733523052423,-1506.7627839673426
NURSE,5C_1589298448,1.441027726801213,-0.7863939597252624,,-3.9828457533507553,1.4424502805219792,-14.700800459238843
NURSE,5C_1589803857,-0.9051016538398109,-0.6101850896893417,,-4.571691851314718,-0.4519937166377105,-5.274394597911275
NURSE,5C_1589889161,1.3200502062617123,-0.49223412313863885,,-5.323914505535031,1.3022827475191836,-129.85056484668718
NURSE,5C_1592926305,0.09167724456702898,-0.6103908140742001,,-5.565274589652446,0.08996463089995677,-10.050944671015097
NURSE,5C_1593006542,-0.23524605249396013,-1.0050899358851402,,-10.069367474963283,0.6362252023998198,-51.889005433610336
NURSE,5C_1593018622,0.8713535834064287,-0.7097071331754556,,-7.113529653513356,0.975272741467524,-32.77620564769401
NURSE,5C_1593094946,1.3815238594253585,-1.0714467199721336,,-4.9879061391515975,1.4165470864000533,-24.91839919750839
NURSE,6B_1588970444,0.3140422017203328,-1.3041035953407225,,-8.474520658159491,0.3457780478880256,-38.69968329743255
