phi,mean_ac1,n_rep,size_rw,ci_lo_rw,ci_hi_rw,size_iaaft,ci_lo_iaaft,ci_hi_iaaft
0.0,-0.002723613659968592,1000,0.0,0.0,0.003826898586390522,0.052,0.039872841792417534,0.06755605934098838
0.3,0.29089874838865465,1000,0.002,0.000548632102457155,0.007262958889587807,0.047,0.03552692265984566,0.06194024745942417
0.5,0.4869612260136578,1000,0.002,0.000548632102457155,0.007262958889587807,0.047,0.03552692265984566,0.06194024745942417
0.7,0.6876483963522698,1000,0.002,0.000548632102457155,0.007262958889587807,0.027,0.018621256649289826,0.03899898941343561
0.85,0.8310129292980396,1000,0.001,0.00017654182905727116,0.0056427029601604705,0.028,0.019442147463132154,0.040170444802420505
0.95,0.9287469031813919,1000,0.014,0.008357497449441326,0.023362247976530262,0.034,0.024431201022401962,0.047135468460114016
0.98,0.955610846262851,1000,0.032,0.022756966127867012,0.04482501094899453,0.055,0.04249722594783333,0.07090871379405424
0.995,0.9698505800391379,1000,0.04,0.029510809273909453,0.05400993742556984,0.086,0.07016826133956047,0.10500041068997089
1.0,0.973271674165243,1000,0.04,0.029510809273909453,0.05400993742556984,0.094,0.07743389633418889,0.11367354531796024
