n,param,n_rep,bias,rmse,corr
100,beta0,8,0.3737353542069825,0.7152071548275124,-0.3308085372439692
100,beta_S,8,-0.16200943757440686,0.56158022453282,0.7108511115202378
100,beta_T,8,-0.42595895802504113,1.186517317724342,0.13928271509998882
100,beta_U,8,0.02168031243589033,0.655315017771042,0.30302880423617007
100,alpha0,8,-0.27419934937659796,0.6278469501484468,0.8969529028932939
100,alpha_A,8,10.150382575289804,23.30137268247372,0.06626966480726781
100,lam,8,0.0016042102026671626,0.03607348428284585,0.8929944796242233
100,sigma,8,-0.02340509006317615,0.0315912806078505,0.9009815277033647
100,eps,8,0.003408191694771419,0.10146385125122308,-0.15521978752630644
150,beta0,8,-0.18535916997296997,0.8348267467200046,0.30786498384589267
150,beta_S,8,0.01680470480949999,0.14885906988697908,0.9476528080677399
150,beta_T,8,-0.12710789718599783,0.43969516443599954,0.16073293195229887
150,beta_U,8,0.1045367031676823,0.2891687415882971,0.7238816564497522
150,alpha0,8,-0.4887743946766676,0.7470251277740215,0.8099574346305952
150,alpha_A,8,-0.35348665925735445,4.7307683282054676,-0.5410745890964439
150,lam,8,0.0046866362566247,0.017263771007386523,0.9643591726513253
150,sigma,8,-0.015767536513243093,0.025348886104202,0.9651067166907179
150,eps,8,0.10382611287294895,0.15393315995297993,-0.5095910080961132
200,beta0,8,0.30625510040671244,1.0461576349718575,-0.13749015830362538
200,beta_S,8,0.2412256260037631,0.3514718518633549,0.8614025824757724
200,beta_T,8,0.07672991309947741,0.14689266841691714,0.5779297602762388
200,beta_U,8,0.06343629826437897,0.26051703040995405,0.6048030854952765
200,alpha0,8,-1.0597961818210657,1.58246110824134,0.0619913956906348
200,alpha_A,8,2.5060607922238294,4.228340137445691,0.20467332851515438
200,lam,8,-0.005176934053125117,0.020258338175486577,0.9596404071311453
200,sigma,8,-0.0022992614376450143,0.016044399146939708,0.9858100727381787
200,eps,8,0.0060215971512180486,0.05264792873822509,0.18677622730663707
300,beta0,8,0.17674086109101053,0.22099556729010486,0.9035191322763539
300,beta_S,8,-0.01637393478069387,0.14575903409609797,0.45924497313973367
300,beta_T,8,-0.01127308233345746,0.057165136128875714,0.9315798704070944
300,beta_U,8,0.020188105646917476,0.11200183811979113,0.6387204771395241
300,alpha0,8,-0.06373102632380304,0.3281610477887446,0.7055799872560827
300,alpha_A,8,0.4919355570217229,2.358436181512756,-0.029699904302328845
300,lam,8,-0.0006046508105591935,0.016864294949759412,0.9799773475232939
300,sigma,8,-0.007099196275521805,0.01611645879925216,0.9827913009273374
300,eps,8,0.015167315618911312,0.1087187586890902,-0.3813736522919579
500,beta0,8,-0.09569162480717276,0.4366687345855091,0.36716546586307797
500,beta_S,8,0.014360486031953765,0.07802727493597074,0.8664723746146862
500,beta_T,8,0.07624094812430206,0.1282810440745142,0.728847652715525
500,beta_U,8,-0.06549062630738846,0.19013831729624578,0.6468615668050923
500,alpha0,8,-0.10006346197867168,0.3536628341408361,0.4360609739603038
500,alpha_A,8,-24.67954796905598,69.41294390262698,0.21022992485486247
500,lam,8,0.0063235382084397,0.014576185589696616,0.9657798466440276
500,sigma,8,0.002517771981591428,0.01798051089683001,0.982770886535277
500,eps,8,0.03187353450972976,0.09161918489640254,0.48152923123486
1000,beta0,8,0.09430371190773686,0.20482266585633124,0.8416354561816732
1000,beta_S,8,0.01953379255547542,0.09264237502542073,0.9006216049939633
1000,beta_T,8,0.004594840535977097,0.03126789492911265,0.978216775442127
1000,beta_U,8,-0.03542940226368044,0.08637945450086516,0.8934736753494174
1000,alpha0,8,-0.042573509602725726,0.24183548281980474,0.8005270949378062
1000,alpha_A,8,-0.026801458902020903,0.1364026083106796,0.8419406691757929
1000,lam,8,-0.0007557151595349683,0.008855374717513466,0.9942948939460986
1000,sigma,8,-0.0022526072749924284,0.004514181232921687,0.9989338013684801
1000,eps,8,0.05101383657122015,0.10257599534359833,-0.09271314711182248
