stat,n_units,n_people,unit_rate,subject_rate,subject_se,any_session_rate,source
cubic term (decisive),147,40,0.027210884353741496,0.015446428571428573,0.007965851679191765,0.1,E3
likelihood ratio,147,40,0.40816326530612246,0.537311507936508,0.06164866410459716,0.85,E3
marginal bimodality,147,40,0.4965986394557823,0.5331547619047619,0.06492920809117192,0.75,E3
