rep,param,true,est
0,beta0,0.1987017508928055,0.17101258404918845
0,beta_S,0.8653377217803597,0.8623197011423199
0,beta_T,0.3128923315017316,0.324122882796321
0,beta_U,0.16406916960727888,0.15230891279435946
0,alpha0,1.7933401626740955,1.7863143784160918
0,alpha_A,0.961990735048072,0.9652043299797463
0,lam,0.24017088980685466,0.2399395964588943
0,sigma,0.3568207175503456,0.35288739801870683
0,eps,0.05124082449190155,0.062308500721124885
1,beta0,0.034971501357814794,0.30981869721959177
1,beta_S,0.37387424599024577,0.3953451310565274
1,beta_T,0.34280621725490074,0.3550279223232177
1,beta_U,0.16094327744536263,0.13144270391306273
1,alpha0,1.640354340210198,1.8930215443943428
1,alpha_A,1.045953403261927,0.8230481741745831
1,lam,0.15155608433907364,0.1517525360633573
1,sigma,0.25455549433408714,0.2508353787567823
1,eps,0.06271666136615565,0.054575456126299486
2,beta0,0.36887527011739174,0.3999079461945204
2,beta_S,0.26152203104327276,0.2666814821960429
2,beta_T,0.1547600638884818,0.1545130467265666
2,beta_U,0.3446535580152359,0.3410368477053182
2,alpha0,0.7238595357434958,0.6934521241332653
2,alpha_A,0.22331108129633742,0.2185094858076593
2,lam,0.2793756946680319,0.26996090577755316
2,sigma,0.2721691516260518,0.2692945998835854
2,eps,0.06104828638577284,0.05889157784531231
3,beta0,-0.2380822824627581,-0.26985920071120645
3,beta_S,0.5407188454416962,0.5676705043547956
3,beta_T,0.19806760695544479,0.20590440000580512
3,beta_U,0.2369051047539434,0.2490789528954231
3,alpha0,0.4429681744689354,0.3372414333625819
3,alpha_A,0.4779333942955226,0.6793922635576035
3,lam,0.18446622349930883,0.18224738600285537
3,sigma,0.32715423628101664,0.3266706645584076
3,eps,0.07360195579902505,0.09285564637017779
4,beta0,-0.3891169266643713,-0.4191258640299613
4,beta_S,0.7674486000514429,0.8382194584667646
4,beta_T,0.24474172047781062,0.23628828916648506
4,beta_U,0.06740481423585436,0.06758083670422661
4,alpha0,0.5740073335139324,0.52268618555323
4,alpha_A,1.0255213111249548,0.8889608246203851
4,lam,0.20449642973254156,0.19267706260115444
4,sigma,0.3934274355204992,0.3927996603434933
4,eps,0.02914395473735041,0.037520144949271805
5,beta0,0.3465383092561799,0.3124888187284369
5,beta_S,0.3520705947966089,0.34272105279383225
5,beta_T,0.3858165445259439,0.36827176893899
5,beta_U,0.3330590984515435,0.2993237590399853
5,alpha0,1.0114230167957392,1.0836059088239796
5,alpha_A,0.23259133045759975,0.16809977485246233
5,lam,0.26651547627818073,0.268884507555414
5,sigma,0.35115704297024375,0.34810945862314396
5,eps,0.05802840689653453,0.04887484431547305
6,beta0,0.04124772538109961,0.00912354495891417
6,beta_S,0.5114935272208694,0.51860808559843
6,beta_T,0.15424330969706296,0.13492944676059324
6,beta_U,0.12231634117494875,0.08929576454331671
6,alpha0,1.510571522040433,1.5200698455501225
6,alpha_A,0.4394988636397219,0.4280043220100119
6,lam,0.20827983233960895,0.2092621049179707
6,sigma,0.2366831483463817,0.23039882973988235
6,eps,0.056913819246750416,0.07004135227291941
7,beta0,0.22384970489748457,0.16593818656226275
7,beta_S,0.8814165157048037,0.8891954318429589
