dataset,subject,n,beta0,beta_S,beta_T,beta_U,alpha0,alpha_A,lam,sigma,eps,identified,mean_a,mean_b,pct_bistable,nll,aic,cusp_identified,lam_t,lam_p_nominal,pct_calm,pct_focused,pct_stuck,pct_overloaded,pct_recovering
WESAD,S2,202,38.53268660198343,90.65659486623728,-23.168373068011075,24.955649964747064,138.29875752520383,-194.9138280296019,0.0003264557620714443,0.19456499935932223,0.06251935698623466,True,-9.209621501125419,35.677391407087384,0.5198019801980198,-43.82814077352777,-69.65628154705554,True,0.12801533766448275,0.4491347195660478,0.08415841584158416,0.034653465346534656,0.2722772277227723,0.6089108910891089,0.0
WESAD,S3,216,8.03136005625497,24.836904335509026,-6.4574623225023595,34.42367102787323,55.76325605597595,-55.358204535577244,0.0013076342786772195,0.19234284926692605,0.030020342013444768,True,3.0460326912095637,10.521656397826384,0.39351851851851855,-49.350517974260306,-80.70103594852061,True,0.5907906145581571,0.2776510609436733,0.06018518518518518,0.09259259259259259,0.1388888888888889,0.6944444444444444,0.013888888888888888
WESAD,S4,214,,,,,,,0.0,0.23993025341657612,0.001,False,,,,-1.8037852677040598,14.392429464591881,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
WESAD,S5,208,,,,,,,0.0,0.1584072623765675,0.014016295561470058,False,,,,-87.69501575602372,-157.39003151204744,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
WESAD,S6,235,,,,,,,0.0,0.12689722636413608,0.008445740447923794,False,,,,-151.03277938910935,-284.0655587782187,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
WESAD,S7,174,,,,,,,0.0,0.11201645390265733,0.001,False,,,,-133.23957874894188,-248.47915749788376,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
WESAD,S8,182,,,,,,,0.0,0.1823873754858589,0.3,False,,,,-51.16578298185632,-84.33156596371263,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
WESAD,S9,174,,,,,,,0.0,0.09641680002770998,0.001,False,,,,-159.18357733935267,-300.36715467870533,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
WESAD,S10,183,4.993526489903011,6.122198810161121,4.634664594936453,0.32431610720163867,28.654361202539395,-31.456786414220407,0.003951342809755972,0.10325180796868283,0.017941403186899872,True,12.14276006483885,7.4875999226456535,0.5956284153005464,-154.9995726364651,-291.9991452729302,True,2.5157164143693658,0.006389716662919183,0.0,0.0,0.20218579234972678,0.7978142076502732,0.0
WESAD,S11,174,1.1026932551397834,10.438937927824655,9.748590087119016,17.466162645359216,17.593655338114985,-37.69496996557373,0.002114439655379404,0.1331837669995036,0.05989797306741236,True,-7.889645845968405,9.954058647721084,0.1781609195402299,-103.29602755347383,-188.59205510694767,True,1.1866692077341192,0.11852682373451218,0.2471264367816092,0.09195402298850575,0.12643678160919541,0.5287356321839081,0.005747126436781609
WESAD,S13,184,,,,,,,0.0,0.11678665097487535,0.013549123139091488,False,,,,-133.30963878698174,-248.61927757396347,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
