dataset,subject,n_entry,n_exit,mean_entry_b,mean_exit_b,observed_width,a_bar,predicted_width,t,p
WESAD,S3,2,2,-0.12862843886911415,-0.5967536982802379,,1.8809387948516652,1.9858210282466462,,
WESAD,S4,4,4,0.8036797051160314,-0.028363539483322264,0.8320432445993536,3.732553388536744,5.551203544711259,0.7387549865887041,0.4949743843450961
WESAD,S5,6,6,1.5089238030654553,-0.5964623753317043,2.1053861783971595,4.056870769241633,6.290206015471846,4.592518738535483,0.0009929206106351217
WESAD,S6,8,7,5.829286978175969,8.78992575579562,-2.9606387776196508,4.660040553969186,7.743952019453124,-1.6939229287281352,0.11629796115961281
WESAD,S7,10,11,4.191710974089317,2.043617256611909,2.1480937174774084,7.875165014326329,17.01247904365195,1.1388935544038856,0.27189815728694877
WESAD,S8,4,4,-0.3421747792721155,-0.4932174482028394,0.15104266893072393,1.3776479805506692,1.2447596422887612,1.4151422741329789,0.24268408337848185
WESAD,S10,1,1,27.04091698266003,-48.77446321742654,,36.91682850035765,172.669123822838,,
WESAD,S13,8,8,-0.5494124241519214,-0.9553758820674596,0.40596345791553823,3.598348286664123,5.2545182445468335,0.6935766748399164,0.5014149761841102
WESAD,S17,2,3,-0.41514562102880137,-2.0918006432869327,,0.8761484148096921,0.6313128490301675,,
EXAM,S1,5,4,-0.45775364199190094,-1.1499141575476497,0.6921605155557488,1.557543431326742,1.4963678120114317,0.6130912160593636,0.559679854630073
EXAM,S1,4,4,0.4217368309604188,-0.9719911921463132,1.393728023106732,1.6750960355514608,1.668928286070465,2.5217200529398247,0.08346754417360026
EXAM,S10,11,10,2.4681790209759944,-0.623948466234927,3.0921274872109215,7.561820356866885,16.00728373109099,1.0275102524837239,0.3171007090199074
EXAM,S2,20,20,-6.314682118375378,-9.409740620883252,3.0950585025078734,9.60964899006738,22.93186603883384,1.4847634751592396,0.14599056749101585
EXAM,S2,1,1,3.7297414824920456,-1.3662091983493965,,0.08440977093717116,0.018878487288477196,,
EXAM,S2,3,3,-0.02576078910640171,-0.9494622761500287,0.923701487043627,0.6359024637643854,0.39035870690771773,0.8062548558778742,0.4678355694169013
EXAM,S3,5,5,-0.06364469133762177,-0.12440786789375444,0.06076317655613267,0.8198598751409661,0.5714622639088173,0.4246263329348595,0.6823445707627058
EXAM,S4,15,15,-0.46417052539619374,-0.7273163510852749,0.2631458256890812,4.915052628343783,8.388230731388017,2.6993720107960075,0.013887221639514745
EXAM,S5,45,45,1.7868687917852588,-2.862048894711717,4.648917686496976,15.850953731860146,48.5804134587975,10.195695778490522,1.4280294913528808e-16
EXAM,S5,31,31,2.7724078138203314,-10.212706058046155,12.985113871866487,33.37639648756395,148.43532854482677,8.55189258663171,6.950207155380227e-12
EXAM,S7,45,45,-5.619742601852493,-6.8451334398230275,1.2253908379705347,12.201755416804001,32.81040432545026,1.216032805263768,0.22722447918036148
EXAM,S7,15,15,-0.7551017075378413,-1.314555598886212,0.5594538913483708,1.8385227668353137,1.91902939676967,0.42674998383963003,0.6729365181370213
EXAM,S8,36,36,-0.08598587644619239,-0.6842363830578052,0.5982505066116128,2.7796940153588,3.567578987427504,5.020341148214657,4.479212760056923e-06
EXAM,S8,27,27,6.32680878793791,-14.179806156342847,20.506614944280756,62.65936117389506,381.81857592175214,2.478061684157062,0.017070729524283658
EXAM,S9,39,39,-9.420845883347239,-33.758271907057356,24.337426023710115,51.536307124095885,284.80529065053804,8.700745147641141,6.523429287439563e-13
EXAM,S9,30,30,-9.324805760484644,-12.141816486135756,2.8170107256511123,32.996262549706366,145.90670003700293,4.773982920492963,1.3373864107634664e-05
NURSE,15_1594140175,8,8,-0.9027734714243333,-0.8568711806548452,-0.04590229076948804,0.024216679996307278,0.002901015262660092,-0.04643192490516608,0.9637795681962635
NURSE,15_1594149654,2,1,1.1007661788315886,1.1093101867902937,,1.7600593267052023,1.797500705987001,,
NURSE,15_1594213322,6,6,0.1437185191045315,-0.04443549959413917,0.18815401869867068,0.4969225103274263,0.26965663765212244,4.124439832912363,0.002807347027819324
NURSE,15_1594220239,15,16,-0.25387956594870587,-0.15000990981361706,-0.1038696561350888,2.335117171405348,2.746889096254786,-0.4349562784558231,0.6668235098353961
NURSE,15_1594238057,5,4,2.666132509207828,-0.9437811225415322,3.60991363174936,6.286394870740489,12.133346352181388,1.1797651881807814,0.27710641027524924
NURSE,15_1594325201,4,4,0.4185403676751658,0.035243570100599336,0.3832967975745665,1.0163225119835406,0.7887246744360401,1.226850118495774,0.2688428453348787
NURSE,15_1594380033,14,15,7.908500088065403,6.671373114692856,1.237126973372547,1.400975386359306,1.27650895887195,0.27700079657311655,0.7839301262607257
NURSE,15_1595347920,2,3,-3.7713966377849344,-4.193530833881616,,13.828727249993205,39.58689376624322,,
NURSE,15_1595360012,1,1,28.808818474809335,-39.41426505416774,,11.885834602344184,31.54442628261002,,
