dataset,subject,n,beta0,beta_S,beta_T,beta_U,alpha0,alpha_A,lam,sigma,eps,identified,mean_a,mean_b,pct_bistable,nll,aic,cusp_identified,lam_t,lam_p_nominal,pct_calm,pct_focused,pct_stuck,pct_overloaded,pct_recovering
WESAD,S2,202,,,,,,,0.0,0.05327343129638638,0.001,False,,,,-304.1891817386185,-590.378363477237,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
WESAD,S3,216,-0.5318995780417182,0.12470163876546504,0.13529503855536903,-0.09512209777473683,3.507895828650407,-48.681723014521474,0.025389271807945916,0.03571131812439852,0.001,True,0.6092167978260805,-0.49884269376116075,0.25925925925925924,-411.3700506820457,-804.7401013640914,True,2.4182868178636943,0.008227486063532557,0.2175925925925926,0.2824074074074074,0.013888888888888888,0.25462962962962965,0.23148148148148148
WESAD,S4,214,1.3405995066531757,-0.5832877162828077,0.02041819754032704,-0.7189562640508619,5.579401601989582,-29.953726017969913,0.0070343509484523834,0.034545613766960054,0.039125863469747585,True,0.07386292288387103,0.22491455882747807,0.3691588785046729,-414.6122014031807,-811.2244028063614,True,2.021049918538391,0.022284353859876583,0.1588785046728972,0.018691588785046728,0.3177570093457944,0.5046728971962616,0.0
WESAD,S5,208,0.829054464672658,-2.064128331713498,0.3990481706005352,-0.593591478580002,5.5708430546494085,-16.78533305747263,0.011756814030109548,0.07666261125176095,0.16469340636112006,True,1.3969677037165094,1.1748520514353105,0.5048076923076923,-237.92634309298748,-457.85268618597496,True,3.060858900108468,0.0012550166886188133,0.004807692307692308,0.02403846153846154,0.44711538461538464,0.5192307692307693,0.004807692307692308
WESAD,S6,235,10.248483926270548,-3.627498190012444,2.0363026935148496,-5.611876404629702,6.134686607961634,-11.80615682424732,0.0024969343653875996,0.0446757974417655,0.13835116408526438,True,2.0056153763629196,6.946644995115469,0.05531914893617021,-395.31605140114294,-772.6321028022859,True,0.600071995882545,0.2745284055291684,0.14893617021276595,0.30638297872340425,0.02553191489361702,0.5191489361702127,0.0
WESAD,S7,174,4.144992044569235,-2.1499970618213435,-2.872947651990149,-1.337448540023735,10.093711617723175,-13.931866032588509,0.009906904307371903,0.1494353080118211,0.3,True,4.358824278417233,1.9288996239926943,0.5517241379310345,-83.37789822437166,-148.75579644874333,True,4.29050851890563,1.509820886315406e-05,0.011494252873563218,0.017241379310344827,0.39655172413793105,0.5747126436781609,0.0
WESAD,S8,182,-0.41813048980867557,-0.21704606242373684,0.045039477638915575,0.14866498196466943,3.274100545073078,-13.029288527923882,0.023141382915362035,0.02620440448044047,0.014975134416571525,True,1.0706239239247366,-0.38181162974380084,0.5,-402.3429522949882,-786.6859045899764,True,3.6416056698761374,0.00017859680192598953,0.13736263736263737,0.027472527472527472,0.37362637362637363,0.34615384615384615,0.11538461538461539
WESAD,S9,174,,,,,,,0.0,0.03851664771425932,0.001,False,,,,-317.92663083239233,-617.8532616647847,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
WESAD,S10,183,21.885619448704904,1.2830794635327682,1.558586014926974,-19.86329561821985,51.21357586797066,-113.52059200148751,0.000695491480351357,0.03979547350628518,0.07679809675639321,True,15.00397653832994,8.299174387521681,0.5027322404371585,-328.5215699134082,-639.0431398268164,True,0.5559209208272666,0.28948748779307515,0.08743169398907104,0.0,0.30601092896174864,0.6065573770491803,0.0
WESAD,S11,174,,,,,,,0.0,0.01487943600748254,0.001,False,,,,-482.4687352277861,-946.9374704555722,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
