,calm,focused,stuck,overloaded,recovering
calm,0.4712160108942144,0.1792882426335293,0.0036539691239609023,0.34584177734829563,0.0
focused,0.22552138473297764,0.3329302262451507,0.000216076058772688,0.4413323129630985,0.0
stuck,0.0027171917456121023,7.343761474627305e-05,0.011750018359403687,0.03961959315561431,0.0020195344055225087
overloaded,0.19392960840505843,0.16458480323360886,0.0002656721524156138,0.6406798878438623,0.0005400283650545395
recovering,0.0,0.0011235955056179776,0.01947565543071161,0.03141234746888969,0.026640086988039147
