dataset,subject,lrt_stat,p_nested,alpha0_full,n_boot,lam_t_obs,lam_t_null_p95,p_rw_lam_t,lr_obs,lr_null_p95,p_rw_lr,bimodality_obs,bimodality_null_p95,p_rw_bimodality,alpha0_obs,alpha0_null_p95,p_rw_alpha0
WESAD,S2,13.946292323616703,0.013245033112582781,138.29875752520383,150,0.12801533766448275,3.0269902638596244,0.8410596026490066,13.946292323616703,10.929038820245,0.026490066225165563,185.3748507970759,129.05560109689634,0.019867549668874173,138.29875752520383,19.815446188107153,0.007518796992481203
WESAD,S3,16.45483992307109,0.6821192052980133,55.76325605597595,150,0.5907906145581571,2.8785855983865787,0.8079470198675497,16.45483992307109,9.57327894323954,0.006622516556291391,382.24459505132256,115.17236816440263,0.006622516556291391,55.76325605597595,19.76446235309473,0.014598540145985401
WESAD,S4,-1.8969535439235115,0.8543046357615894,,150,0.0,3.169626218257742,1.0,-1.8969535439235115,11.558177522592405,1.0,273.68486193668423,130.2345474234217,0.006622516556291391,,19.034310708398635,
WESAD,S5,9.449775916554785,0.39072847682119205,,150,0.0,2.9951269656963024,1.0,9.449775916554785,11.469455646666198,0.11258278145695365,95.67714348500624,128.40899323893365,0.11920529801324503,,12.2700963133051,
WESAD,S6,16.96674331753178,0.2251655629139073,,150,0.0,3.0490645011475186,1.0,16.96674331753178,12.725455903092982,0.013245033112582781,67.29137344401624,143.13615414840183,0.25165562913907286,,9.381861305268274,
WESAD,S7,0.492306593210742,0.5827814569536424,,150,0.0,3.058457693695604,1.0,0.492306593210742,13.413369931684715,0.9403973509933775,145.1033898983871,88.43364433225783,0.026490066225165563,,6.197204518122809,
WESAD,S8,14.357567756097296,0.026490066225165563,,150,0.0,3.431926656945665,1.0,14.357567756097296,11.288666426414943,0.026490066225165563,237.6070229589144,111.17925606364741,0.006622516556291391,,16.10684618145166,
WESAD,S9,30.91168694371828,0.4304635761589404,,150,0.0,3.334915384625247,1.0,30.91168694371828,12.651201666560047,0.006622516556291391,85.71844695953166,122.66785905374505,0.11258278145695365,,11.528583274316253,
WESAD,S10,41.96638418282305,0.006622516556291391,28.654361202539395,150,2.5157164143693658,3.111352991009348,0.17218543046357615,41.96638418282305,11.587452667095254,0.006622516556291391,344.3225385180129,96.55375213699136,0.006622516556291391,28.654361202539395,11.530016785891727,0.022388059701492536
WESAD,S11,19.28520816394669,0.006622516556291391,17.593655338114985,150,1.1866692077341192,2.987825695452155,0.5629139072847682,19.28520816394669,11.791177298780966,0.006622516556291391,86.61827860071008,103.68787467937386,0.09271523178807947,17.593655338114985,16.245358980347888,0.044444444444444446
WESAD,S13,15.80855105939014,0.17218543046357615,,150,0.0,3.126908090117237,1.0,15.80855105939014,11.434902950731157,0.013245033112582781,68.5256059249333,114.57576239569084,0.18543046357615894,,14.779937502162614,
WESAD,S14,16.38977736585096,0.006622516556291391,10.655436497405102,150,0.7596945433128415,2.9890210594256845,0.7152317880794702,16.38977736585096,9.248288305676962,0.013245033112582781,-7.307079756781036,108.73934020400438,0.8278145695364238,10.655436497405102,17.051844484525137,0.15037593984962405
WESAD,S15,46.30269448072369,0.006622516556291391,79.05587605681997,150,0.3093092730351288,2.9504394250337587,0.8543046357615894,46.30269448072369,11.042730813320842,0.006622516556291391,77.17139901220469,106.0621949326463,0.1390728476821192,79.05587605681997,13.347214592618668,0.007352941176470588
WESAD,S16,65.64697021640802,0.41721854304635764,94.67348180404605,150,1.008925591761442,3.1211862918205306,0.695364238410596,65.64697021640802,11.104306041096345,0.006622516556291391,213.4588014367995,108.72216991915116,0.006622516556291391,94.67348180404605,21.567724973889945,0.014285714285714285
WESAD,S17,-0.5026884958685969,0.8344370860927153,,150,0.0,3.1865632674352597,1.0,-0.5026884958685969,10.424429410267429,0.9867549668874173,105.08371312952613,129.35898126619546,0.07947019867549669,,18.50823813836382,
EXAM,S1,5.923477974285106,0.11920529801324503,,150,0.0,3.0469934036984987,1.0,5.923477974285106,10.704143163852056,0.2582781456953642,3279.2463857802704,506.39780705437096,0.006622516556291391,,4.43898062952334,
EXAM,S1,9.11417788030559,0.09933774834437085,,150,0.0,2.8660252754023827,1.0,9.11417788030559,11.172467822574962,0.09933774834437085,398.80475067552516,223.72335971257723,0.006622516556291391,,27.931226336658764,
EXAM,S1,109.25985803441813,0.006622516556291391,35.82111880655065,150,2.6235620986583275,3.1308950793402643,0.11920529801324503,109.25985803441813,12.33073313570398,0.006622516556291391,907.1845123748793,250.68909488864284,0.006622516556291391,35.82111880655065,7.014826988126062,0.006944444444444444
EXAM,S10,59.93089529861436,0.006622516556291391,,150,0.0,3.0299573579158117,1.0,59.93089529861436,11.712218487108808,0.006622516556291391,2897.171480671522,452.04857004986843,0.006622516556291391,,3.4037208963580143,
EXAM,S10,1.5405594257664461,0.9602649006622517,,150,0.0,2.888598336851916,1.0,1.5405594257664461,11.32267863536835,0.7682119205298014,1406.5756986787528,288.3645571094219,0.006622516556291391,,4.897648476021965,
EXAM,S10,12.6967463081005,0.039735099337748346,,150,0.0,3.3804477220570974,1.0,12.6967463081005,12.109191821388542,0.052980132450331126,1765.966860685596,271.11275570526664,0.006622516556291391,,4.143992160513617,
EXAM,S2,27.016664894631845,0.006622516556291391,38.686875509349214,150,2.222213144070558,3.1579608047815615,0.2052980132450331,27.016664894631845,11.403525554890187,0.006622516556291391,2972.777979826532,558.4660130943848,0.006622516556291391,38.686875509349214,8.660965992789102,0.007194244604316547
EXAM,S2,24.629810927383573,0.006622516556291391,25.617929023639064,150,2.3923694285021746,3.066018459279983,0.18543046357615894,24.629810927383573,11.14384255991862,0.006622516556291391,196.1866547044756,271.758128352478,0.1390728476821192,25.617929023639064,17.614228998651228,0.03759398496240601
EXAM,S2,15.510205141915364,0.006622516556291391,,150,0.0,3.1885441486770887,1.0,15.510205141915364,11.657022939608494,0.026490066225165563,217.34790430604062,217.7084167108909,0.059602649006622516,,16.224896427726616,
EXAM,S3,20.492328346706813,0.006622516556291391,,150,0.0,3.1145251152490325,1.0,20.492328346706813,10.965856377624132,0.013245033112582781,5324.353152192058,609.8236860979804,0.006622516556291391,,10.852644956552973,
EXAM,S3,12.475185226930101,0.026490066225165563,23.344259314890596,150,1.920491072068529,2.9642309937754803,0.304635761589404,12.475185226930101,10.667721664244915,0.026490066225165563,239.0477380178238,282.0327846049712,0.08609271523178808,23.344259314890596,19.15476486578751,0.04316546762589928
EXAM,S3,6.058637314076236,0.24503311258278146,,150,0.0,2.93342754912327,1.0,6.058637314076236,10.248574245059297,0.18543046357615894,34.50422246655194,181.83919131321932,0.5761589403973509,,6.0225391037860305,
EXAM,S4,17.735338238271538,0.006622516556291391,,150,0.0,3.554396471327991,1.0,17.735338238271538,14.003206616510148,0.026490066225165563,382.1154012366194,289.9926054569898,0.026490066225165563,,12.315718443848647,
EXAM,S4,-3.239283194526557,1.0,,150,0.0,3.2573529276109077,1.0,-3.239283194526557,12.594498561258176,1.0,419.50609387594477,225.34791149340933,0.006622516556291391,,26.77946784310151,
EXAM,S4,15.928754897158797,0.006622516556291391,18.565748448869595,150,2.798429447450628,2.9013733478909423,0.0728476821192053,15.928754897158797,11.503619151427435,0.019867549668874173,2302.339539658846,269.7067602546373,0.006622516556291391,18.565748448869595,13.461423430044597,0.03676470588235294
EXAM,S5,6.448834899627286,0.9536423841059603,,150,0.0,2.927154185637696,1.0,6.448834899627286,10.796678131029903,0.1986754966887417,1475.4725981120637,334.0273037041019,0.006622516556291391,,12.615362270350294,
EXAM,S5,1.361371816984743,0.9470198675496688,,150,0.0,3.1444480875791743,1.0,1.361371816984743,12.35990085255285,0.7748344370860927,2006.8942136297956,220.68325519118565,0.006622516556291391,,9.031259191863542,
EXAM,S5,32.00470473267933,0.006622516556291391,1.6414481330308008,150,1.2254527008773626,2.9519774383114203,0.5629139072847682,32.00470473267933,11.45944825255804,0.006622516556291391,1908.5314782269904,229.65554630980827,0.006622516556291391,1.6414481330308008,5.100557397829387,0.30344827586206896
EXAM,S6,18.015832541947475,0.695364238410596,52.18984158107791,150,0.8490454077436826,3.0743065119603084,0.6821192052980133,18.015832541947475,11.16457461295499,0.013245033112582781,4114.474572057962,494.07750308473663,0.006622516556291391,52.18984158107791,7.594374365698998,0.014285714285714285
EXAM,S6,28.624691560773556,0.006622516556291391,,150,0.0,3.106198362474864,1.0,28.624691560773556,15.06424864221338,0.006622516556291391,1859.1560266448732,233.4790366828301,0.006622516556291391,,7.497973289500559,
EXAM,S6,19.610714234998326,0.006622516556291391,,150,0.0,3.3631857848360855,1.0,19.610714234998326,11.775350106069455,0.006622516556291391,3356.295184647334,300.1700413396987,0.006622516556291391,,8.294828976568219,
EXAM,S7,22.133745388917987,0.006622516556291391,19.623434818784823,150,3.0491673773974375,3.082702262242853,0.06622516556291391,22.133745388917987,10.692974177664546,0.006622516556291391,1417.6262766421182,399.3066960796727,0.006622516556291391,19.623434818784823,11.506084088139113,0.0273972602739726
EXAM,S7,14.580599892405132,0.013245033112582781,,150,0.0,2.9209430754112224,1.0,14.580599892405132,10.428056519156076,0.026490066225165563,2348.645192819026,206.59054679552239,0.006622516556291391,,6.172216849786391,
EXAM,S7,2.2935214192181945,0.8079470198675497,,150,0.0,3.4402370778995057,1.0,2.2935214192181945,11.642574278892965,0.6821192052980133,1540.2729537553878,226.93054563196816,0.006622516556291391,,11.678208445709284,
